                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0037,                  4.472,                 3.5903,                0.00079,                0.05491,                0.00037,                 0.0001,                 4.0625,                 278.57,                 10.604,                 0.0775,                 0.0025,                 0.0025
                      2,                   2.33,                 2.1974,                 2.0144,                0.00079,                0.05491,                0.00037,                 0.0001,                  2.238,                 36.525,                 12.083,                0.05405,              0.0050495,              0.0050495
                      3,                 2.1067,                 1.9095,                 1.7925,                0.00048,                0.00394,                  3e-05,                      0,                 6.2199,                 131.53,                 341.79,               0.030548,              0.0075475,              0.0075475
                      4,                 2.0478,                 1.7149,                 1.7952,                0.00048,                0.00394,                  3e-05,                      0,                 1.8249,                 8.3101,                 2.0524,               0.009703,               0.009703,               0.009703
                      5,                 1.8811,                 1.5646,                  1.656,                 0.5546,                0.35706,                0.46547,                0.18627,                 1.9566,                 27.935,                 2.0189,               0.009604,               0.009604,               0.009604
                      6,                 1.7727,                 1.5061,                    1.6,                0.66317,                0.67669,                0.69806,                0.32106,                 1.8746,                 1.5997,                 1.8432,               0.009505,               0.009505,               0.009505
                      7,                 1.7194,                 1.3686,                 1.5333,                0.64552,                0.50642,                0.64228,                 0.2861,                 1.8338,                 7.8801,                 1.7821,               0.009406,               0.009406,               0.009406
                      8,                 1.7034,                 1.3468,                 1.5096,                0.73887,                0.70346,                0.76708,                0.37348,                 1.7826,                 1.6532,                 1.7412,               0.009307,               0.009307,               0.009307
                      9,                 1.6053,                 1.2451,                 1.4503,                0.58739,                0.44174,                0.49254,                0.23086,                 2.0483,                  2.045,                  1.871,               0.009208,               0.009208,               0.009208
                     10,                 1.5695,                 1.2863,                 1.4181,                0.68883,                0.65753,                 0.6721,                0.29815,                 2.0001,                 1.4716,                 1.8448,               0.009109,               0.009109,               0.009109
                     11,                 1.5749,                 1.2333,                 1.4083,                0.79092,                0.61976,                0.74105,                0.35253,                 1.7766,                 5.9608,                 1.7182,                0.00901,                0.00901,                0.00901
                     12,                 1.4835,                 1.1728,                 1.3638,                0.70258,                0.63388,                0.69367,                0.32697,                 1.8428,                 1.6141,                 1.6781,               0.008911,               0.008911,               0.008911
                     13,                  1.466,                 1.1108,                 1.3288,                0.63049,                 0.5786,                0.60718,                0.28364,                 1.9414,                 1.5755,                 1.7262,               0.008812,               0.008812,               0.008812
                     14,                 1.4147,                  1.122,                 1.3459,                  0.691,                0.70272,                0.73856,                 0.3665,                 1.7463,                 1.3224,                 1.6067,               0.008713,               0.008713,               0.008713
                     15,                 1.4222,                 1.1175,                 1.3331,                0.72967,                0.69756,                 0.7599,                0.39078,                  1.709,                 1.4583,                 1.5928,               0.008614,               0.008614,               0.008614
                     16,                 1.3714,                 1.0277,                 1.2884,                  0.778,                0.78289,                0.83355,                0.42127,                 1.7161,                 1.3494,                 1.6324,               0.008515,               0.008515,               0.008515
                     17,                 1.4602,                  1.085,                 1.3409,                0.70912,                0.63418,                0.65787,                0.31101,                 1.8491,                 1.4154,                 1.6468,               0.008416,               0.008416,               0.008416
                     18,                  1.389,                 1.0253,                 1.2929,                0.71022,                0.78019,                0.78983,                0.42684,                 1.6696,                 1.2106,                 1.5649,               0.008317,               0.008317,               0.008317
                     19,                 1.3794,                 1.0277,                 1.2848,                0.70612,                0.75047,                0.77287,                0.41852,                 1.6847,                 1.3284,                 1.5889,               0.008218,               0.008218,               0.008218
                     20,                 1.3806,                 1.0099,                 1.2889,                0.71172,                0.73105,                0.77712,                0.40505,                   1.71,                 1.3449,                 1.6046,               0.008119,               0.008119,               0.008119
                     21,                 1.3249,                0.98269,                 1.2754,                0.78161,                0.66495,                0.75228,                0.38679,                 1.7493,                 1.6389,                 1.6375,                0.00802,                0.00802,                0.00802
                     22,                 1.3812,                 1.0333,                 1.3039,                0.75442,                0.71728,                0.79077,                0.43221,                 1.6403,                 1.2508,                 1.5578,               0.007921,               0.007921,               0.007921
                     23,                 1.3136,                 0.9786,                 1.2596,                  0.786,                0.74723,                0.82279,                0.44444,                 1.5967,                 1.0913,                 1.5296,               0.007822,               0.007822,               0.007822
                     24,                 1.3004,                0.93406,                 1.2694,                0.56963,                0.48746,                0.53699,                0.25978,                  2.024,                  1.717,                 1.7576,               0.007723,               0.007723,               0.007723
                     25,                 1.3124,                0.92874,                 1.2618,                0.64013,                0.63392,                0.70877,                0.37939,                 1.6834,                 1.3184,                 1.5614,               0.007624,               0.007624,               0.007624
