                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2106,                 4.4855,                  3.614,                0.51906,                0.06936,                0.00663,                0.00149,                 3.7594,                 7.8223,                 3.0401,                 0.0775,                 0.0025,                 0.0025
                      2,                 2.9097,                 2.3411,                  2.201,                0.00027,                0.04624,                0.00017,                  6e-05,                 4.4183,             1.2231e+05,                 150.09,                0.05405,              0.0050495,              0.0050495
                      3,                 2.4959,                 1.9395,                 1.9535,                0.50989,                 0.0289,                0.00129,                0.00025,                 5.1006,                 42.492,                 14.362,               0.030548,              0.0075475,              0.0075475
                      4,                 2.3334,                 1.7341,                 1.8705,                0.00601,                0.03468,                 0.0014,                 0.0003,                 4.7118,                 33.583,                 8.7111,               0.009703,               0.009703,               0.009703
                      5,                 2.2382,                 1.6587,                 1.7501,                0.18822,                0.82274,                0.52263,                 0.2178,                  2.191,                 22.914,                 2.2799,               0.009604,               0.009604,               0.009604
                      6,                 2.0905,                 1.5355,                 1.6541,                0.29624,                0.33647,                0.25502,                0.10581,                 2.3314,                 4.7333,                 2.0213,               0.009505,               0.009505,               0.009505
                      7,                  2.107,                 1.4483,                 1.6126,                0.55118,                0.54957,                 0.5981,                0.26717,                 2.1361,                 5.1491,                 1.9513,               0.009406,               0.009406,               0.009406
                      8,                 1.9352,                 1.3572,                  1.533,                0.70915,                0.59431,                0.66714,                0.31577,                 2.0896,                 3.1424,                 1.9132,               0.009307,               0.009307,               0.009307
                      9,                  1.848,                 1.3144,                 1.4861,                0.68664,                0.64442,                0.67603,                0.33239,                 2.0142,                 2.2059,                 1.7261,               0.009208,               0.009208,               0.009208
                     10,                  1.794,                 1.3007,                 1.4471,                0.77807,                0.61529,                0.71879,                0.36995,                 1.9898,                 1.5727,                 1.6663,               0.009109,               0.009109,               0.009109
