                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1796,                 4.5573,                 3.5894,                      0,                      0,                      0,                      0,                 5.6105,             8.3257e+05,                 3995.7,                 0.0775,                 0.0025,                 0.0025
                      2,                 2.6809,                 1.9529,                  2.152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.05405,              0.0050495,              0.0050495
                      3,                 2.2811,                 1.6807,                 1.8114,                0.61618,                0.05118,                0.03083,                0.01093,                 4.1374,                  8.412,                 3.7892,               0.030548,              0.0075475,              0.0075475
                      4,                 2.1914,                 1.5904,                 1.7718,                0.28476,                0.22919,                0.13831,                0.05361,                 3.6365,                 1327.9,                 10.347,               0.009703,               0.009703,               0.009703
                      5,                 2.1098,                 1.5001,                 1.6767,                0.60192,                0.49982,                0.50916,                 0.1966,                 2.7081,                 2.7697,                 2.7576,               0.009604,               0.009604,               0.009604
                      6,                 1.9587,                 1.3899,                 1.5775,                 0.6872,                0.61062,                0.68211,                0.32317,                 2.0808,                 3.1979,                 1.9666,               0.009505,               0.009505,               0.009505
                      7,                 1.8679,                 1.3094,                 1.4937,                0.66516,                0.68331,                0.67474,                0.33573,                 2.0248,                 2.3608,                 1.8409,               0.009406,               0.009406,               0.009406
                      8,                  1.868,                 1.3563,                 1.4943,                0.45157,                0.53366,                0.50876,                0.20159,                  2.453,                 14.195,                 2.2519,               0.009307,               0.009307,               0.009307
                      9,                 1.7667,                  1.255,                 1.4457,                0.58277,                0.58677,                0.57338,                0.27579,                 2.1296,                 1.9482,                 1.8538,               0.009208,               0.009208,               0.009208
                     10,                 1.7121,                 1.2136,                 1.4085,                0.73601,                0.68178,                0.75311,                0.38628,                 1.9605,                 1.3439,                 1.6621,               0.009109,               0.009109,               0.009109
                     11,                 1.6739,                 1.1588,                 1.3662,                0.78442,                0.60646,                 0.7067,                0.34994,                 2.1096,                 1.4937,                  1.751,                0.00901,                0.00901,                0.00901
                     12,                 1.6159,                   1.11,                 1.3435,                 0.7293,                0.67014,                0.73513,                0.38411,                 1.9315,                 1.6218,                 1.6169,               0.008911,               0.008911,               0.008911
                     13,                 1.6063,                 1.0544,                 1.3125,                0.66744,                  0.663,                0.70128,                0.35442,                 1.9272,                 1.3692,                 1.5908,               0.008812,               0.008812,               0.008812
                     14,                 1.6051,                 1.1054,                 1.3598,                0.72267,                0.61193,                 0.6884,                0.33659,                 2.1565,                 1.5122,                 1.7229,               0.008713,               0.008713,               0.008713
                     15,                  1.607,                 1.1107,                 1.3405,                0.82525,                0.77576,                0.86611,                0.46596,                 1.8393,                 1.0653,                 1.5644,               0.008614,               0.008614,               0.008614
                     16,                 1.5615,                 1.0373,                 1.2981,                0.77207,                0.71662,                0.80388,                 0.4187,                 1.8345,                 1.9519,                   1.57,               0.008515,               0.008515,               0.008515
                     17,                 1.5574,                 1.0622,                 1.3107,                0.78025,                0.73195,                0.83456,                0.44822,                 1.8153,                 1.6101,                 1.5524,               0.008416,               0.008416,               0.008416
                     18,                 1.5378,                0.98684,                 1.2856,                0.73558,                0.73529,                0.79776,                0.42358,                 1.8445,                 1.3002,                 1.5568,               0.008317,               0.008317,               0.008317
                     19,                 1.5126,                0.96893,                 1.2665,                0.77085,                0.72367,                0.77283,                0.41378,                 1.8386,                 1.4651,                 1.5353,               0.008218,               0.008218,               0.008218
