                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0377,                 5.0422,                 3.6483,                      0,                      0,                      0,                      0,                 3.1833,             8.4911e+06,                 42.033,                 0.0775,                 0.0025,                 0.0025
                      2,                 2.3809,                 2.0937,                 2.0807,                0.50009,                0.00289,                  2e-05,                      0,                 5.2215,                 1406.8,                  69.28,                0.05405,              0.0050495,              0.0050495
                      3,                 2.0594,                 1.7926,                 1.8173,                 0.0033,                0.04913,                0.00301,                 0.0006,                 3.9316,                 8.7998,                 5.8816,               0.030548,              0.0075475,              0.0075475
                      4,                 2.0353,                  1.698,                 1.8057,                0.06068,                0.09897,                0.03233,                0.00819,                 4.2204,                  127.5,                 9.0209,               0.009703,               0.009703,               0.009703
                      5,                 1.8853,                  1.529,                 1.6614,                0.24403,                0.63472,                0.31097,                0.10533,                 2.0368,                 12.732,                 2.2884,               0.009604,               0.009604,               0.009604
                      6,                 1.8111,                 1.4551,                 1.5941,                0.38646,                0.56942,                0.46935,                0.20508,                 1.9367,                 18.277,                 2.0728,               0.009505,               0.009505,               0.009505
                      7,                 1.6627,                 1.3586,                 1.4944,                0.79465,                0.63963,                0.75956,                0.37774,                 1.7441,                 7.2871,                 1.7715,               0.009406,               0.009406,               0.009406
                      8,                 1.6131,                  1.274,                 1.4473,                0.74198,                0.67099,                0.74267,                0.36612,                 1.7449,                 1.9252,                 1.6665,               0.009307,               0.009307,               0.009307
                      9,                 1.5531,                 1.2126,                 1.4068,                0.60226,                0.76602,                0.75478,                0.38804,                 1.6345,                   4.12,                 1.6463,               0.009208,               0.009208,               0.009208
                     10,                 1.5151,                  1.208,                 1.3861,                0.71494,                0.66284,                0.71387,                0.36279,                 1.7593,                 2.3012,                 1.6588,               0.009109,               0.009109,               0.009109
                     11,                  1.499,                 1.1535,                 1.3546,                0.76772,                0.73383,                  0.803,                0.42652,                  1.701,                 1.1863,                 1.6204,                0.00901,                0.00901,                0.00901
                     12,                 1.4576,                 1.1202,                 1.3468,                0.66727,                0.54538,                0.61088,                0.28339,                 1.9647,                 1.5656,                 1.8094,               0.008911,               0.008911,               0.008911
                     13,                 1.4224,                 1.0707,                 1.3099,                0.74439,                0.67016,                0.75857,                0.41349,                 1.6142,                 1.5936,                 1.5534,               0.008812,               0.008812,               0.008812
                     14,                 1.3801,                 1.0701,                 1.3259,                0.51509,                0.60826,                 0.6052,                 0.3077,                 1.8507,                 1.6162,                 1.6848,               0.008713,               0.008713,               0.008713
