                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9427,                   3.52,                 3.3971,                      0,                      0,                      0,                      0,                 2.7597,                 4.8542,                 4.6892,               0.070588,               0.003268,               0.003268
                      1,                 2.2902,                 2.2416,                 2.5426,                  3e-05,                0.00578,                  3e-05,                  1e-05,                 3.2283,                    inf,                 9.1388,               0.040523,               0.006536,               0.006536
                      2,                 2.0365,                 1.9982,                 2.3248,                0.47972,                0.16788,                0.10765,                0.02753,                 2.6615,                  4.335,                 3.6112,               0.010392,              0.0097379,              0.0097379
                      3,                 1.9116,                  1.785,                  2.212,                0.25879,                0.34819,                0.18006,                0.05901,                 2.2107,                 32.013,                 2.6995,               0.009703,               0.009703,               0.009703
                      4,                  1.768,                  1.652,                 2.0657,                0.51044,                0.64695,                0.59767,                0.25377,                  1.955,                   1.88,                 2.4112,               0.009703,               0.009703,               0.009703
                      5,                 1.7223,                 1.6441,                 2.0099,                0.64545,                0.63975,                0.68349,                0.28987,                 1.8876,                 2.1232,                 2.4384,               0.009604,               0.009604,               0.009604
                      6,                 1.6664,                 1.5408,                 1.9615,                0.76655,                0.65704,                0.72048,                 0.3427,                 1.8025,                 1.7061,                 2.2773,               0.009505,               0.009505,               0.009505
                      7,                 1.6082,                 1.5025,                 1.9145,                0.71394,                0.59135,                0.68023,                 0.3317,                 1.8652,                 1.5944,                  2.195,               0.009406,               0.009406,               0.009406
                      8,                 1.5526,                 1.4102,                 1.8287,                 0.8243,                0.66073,                0.79804,                0.41186,                 1.7473,                 1.4257,                 2.1416,               0.009307,               0.009307,               0.009307
                      9,                 1.5169,                 1.3975,                 1.7995,                0.69827,                0.52285,                0.58757,                0.28866,                 1.8005,                 2.6431,                 2.2754,               0.009208,               0.009208,               0.009208
                     10,                 1.4751,                 1.3674,                  1.811,                0.76091,                0.53586,                0.70903,                0.36158,                 1.7638,                 1.5868,                 2.1479,               0.009109,               0.009109,               0.009109
                     11,                 1.4338,                 1.2773,                 1.7977,                0.76656,                0.66786,                0.76808,                0.39068,                 1.6874,                 1.4168,                 2.1659,                0.00901,                0.00901,                0.00901
                     12,                 1.4301,                 1.2795,                 1.7336,                 0.8232,                0.71933,                0.79893,                0.42841,                 1.6484,                 1.2713,                 2.1225,               0.008911,               0.008911,               0.008911
                     13,                 1.4166,                 1.2457,                 1.7034,                0.76718,                0.72721,                0.77825,                 0.4041,                 1.7329,                  1.433,                 2.1181,               0.008812,               0.008812,               0.008812
                     14,                 1.4005,                 1.2297,                 1.6925,                0.74012,                0.76718,                0.81297,                0.43757,                 1.6542,                 1.3169,                 2.0046,               0.008713,               0.008713,               0.008713
                     15,                 1.3853,                 1.2756,                 1.6849,                0.66872,                0.70639,                0.69311,                0.35612,                 1.7073,                 1.5411,                 2.1186,               0.008614,               0.008614,               0.008614
                     16,                 1.3809,                 1.2031,                 1.6892,                0.83376,                0.70653,                0.80488,                0.43746,                 1.6394,                 1.4916,                    2.1,               0.008515,               0.008515,               0.008515
                     17,                 1.3354,                 1.1641,                 1.6466,                0.79705,                0.71494,                0.81659,                0.43192,                 1.6713,                 1.3161,                  2.074,               0.008416,               0.008416,               0.008416
                     18,                 1.3273,                 1.2086,                 1.6392,                0.69746,                0.74076,                0.78913,                0.40842,                 1.6784,                 1.4359,                 2.1272,               0.008317,               0.008317,               0.008317
                     19,                 1.3239,                  1.179,                 1.6106,                0.85359,                0.74199,                 0.8564,                0.47486,                 1.5944,                 1.1958,                 1.9776,               0.008218,               0.008218,               0.008218
