                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2745,                 3.1128,                 2.9427,                0.00027,                0.06299,                0.00033,                  8e-05,                 3.5234,                 5.4817,                 2.9431,               0.070588,               0.003268,               0.003268
                      1,                 2.1948,                 1.8586,                 1.8989,                0.00072,                0.07225,                0.00042,                  9e-05,                 4.4124,                    inf,                 7.3606,               0.040523,               0.006536,               0.006536
                      2,                 1.9688,                 1.5989,                 1.7144,                0.28598,                0.54613,                0.20844,                0.07271,                 2.4143,                 19.279,                 2.3473,               0.010392,              0.0097379,              0.0097379
                      3,                 1.8337,                 1.5423,                 1.6343,                0.67617,                0.43275,                0.56549,                0.23822,                 1.9757,                  5.942,                 1.9436,               0.009703,               0.009703,               0.009703
                      4,                 1.7621,                 1.4668,                 1.5716,                0.79571,                0.60793,                0.67487,                 0.3042,                 1.8749,                 1.6095,                 1.7121,               0.009703,               0.009703,               0.009703
                      5,                 1.6845,                  1.373,                 1.5073,                0.74886,                0.29886,                0.43431,                0.19663,                 2.0448,                 3.5194,                 1.7643,               0.009604,               0.009604,               0.009604
                      6,                 1.6034,                   1.34,                 1.4519,                 0.6429,                  0.403,                0.49802,                0.21776,                 2.0143,                 2.1174,                 1.7145,               0.009505,               0.009505,               0.009505
                      7,                 1.5479,                 1.2616,                 1.4179,                0.74439,                0.48591,                0.59341,                0.30515,                 1.8849,                 1.8211,                 1.6756,               0.009406,               0.009406,               0.009406
                      8,                  1.517,                 1.1922,                 1.3899,                0.66867,                0.67815,                0.70293,                0.34226,                 1.8489,                 1.4001,                 1.6677,               0.009307,               0.009307,               0.009307
                      9,                 1.4884,                 1.2034,                 1.3648,                0.79936,                  0.752,                0.82085,                 0.4208,                  1.747,                 1.2707,                 1.5979,               0.009208,               0.009208,               0.009208
                     10,                 1.4545,                 1.1255,                 1.3554,                0.64581,                0.47888,                0.55453,                0.26995,                 1.9703,                  1.858,                 1.7077,               0.009109,               0.009109,               0.009109
                     11,                  1.412,                 1.1139,                 1.3611,                0.75885,                0.70588,                0.83309,                0.42582,                 1.7452,                 1.5464,                 1.6046,                0.00901,                0.00901,                0.00901
                     12,                 1.4159,                 1.0848,                 1.3193,                0.77847,                0.78044,                0.84282,                0.42432,                 1.8209,                 1.1052,                 1.6469,               0.008911,               0.008911,               0.008911
                     13,                   1.44,                 1.0771,                 1.3152,                0.71925,                0.72068,                0.77747,                 0.4018,                 1.7179,                 1.1914,                 1.6048,               0.008812,               0.008812,               0.008812
                     14,                 1.3956,                 1.0576,                 1.2867,                  0.755,                 0.6593,                0.73685,                 0.3947,                 1.6722,                 3.6035,                 1.5381,               0.008713,               0.008713,               0.008713
                     15,                  1.367,                 1.0427,                 1.2933,                0.73462,                0.64319,                0.71515,                0.37578,                 1.7414,                 1.3992,                 1.5787,               0.008614,               0.008614,               0.008614
                     16,                 1.3378,                 1.0085,                 1.2926,                0.79625,                0.73171,                0.80814,                0.41763,                 1.7141,                 1.1972,                 1.5624,               0.008515,               0.008515,               0.008515
                     17,                 1.3191,                0.98815,                 1.2612,                0.83181,                0.72452,                0.81058,                0.41395,                 1.8443,                 1.1768,                 1.6598,               0.008416,               0.008416,               0.008416
                     18,                 1.3191,                 1.0057,                 1.2593,                0.79015,                0.71795,                0.80356,                0.44406,                 1.6895,                 1.0847,                 1.5353,               0.008317,               0.008317,               0.008317
                     19,                 1.3374,                0.96814,                 1.2653,                0.81087,                 0.7786,                0.85735,                0.44829,                 1.7521,                 1.0841,                 1.6074,               0.008218,               0.008218,               0.008218
                     20,                 1.3043,                0.97661,                 1.2452,                0.74001,                0.72268,                0.77803,                0.40718,                 1.7419,                 1.1797,                  1.585,               0.008119,               0.008119,               0.008119
                     21,                 1.3271,                0.98173,                 1.2712,                0.84026,                0.76386,                0.84343,                0.44308,                 1.7185,                 1.1585,                 1.5977,                0.00802,                0.00802,                0.00802
                     22,                 1.3603,                 1.0189,                 1.2713,                0.77827,                 0.7172,                0.80381,                0.44244,                 1.6876,                 1.1121,                  1.534,               0.007921,               0.007921,               0.007921
                     23,                 1.2775,                0.91361,                 1.2407,                0.80042,                0.80695,                0.85929,                0.46847,                 1.6771,                0.94489,                 1.5273,               0.007822,               0.007822,               0.007822
                     24,                 1.2638,                0.89632,                 1.2426,                0.82927,                 0.7545,                0.82409,                0.43944,                 1.7008,                 1.1955,                 1.5638,               0.007723,               0.007723,               0.007723
                     25,                 1.2461,                0.89909,                  1.217,                0.71855,                0.71246,                0.76438,                0.39896,                 1.7079,                 1.1915,                 1.5537,               0.007624,               0.007624,               0.007624
                     26,                 1.2842,                 0.9076,                  1.234,                0.83999,                0.79616,                0.87525,                0.48169,                 1.6468,                0.95835,                  1.547,               0.007525,               0.007525,               0.007525
                     27,                 1.2447,                 0.8645,                 1.2064,                 0.7384,                0.70434,                0.78794,                0.44224,                 1.6511,                 1.3133,                 1.5314,               0.007426,               0.007426,               0.007426
                     28,                 1.2239,                0.88399,                 1.2186,                0.79065,                0.76703,                0.84435,                0.46077,                 1.6401,                 1.0601,                 1.5366,               0.007327,               0.007327,               0.007327
                     29,                 1.2589,                0.90948,                 1.2206,                0.66466,                0.57628,                0.61511,                 0.2928,                 1.9699,                 1.4435,                  1.674,               0.007228,               0.007228,               0.007228
