                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7291,                  3.331,                 3.1988,                0.50829,                0.04046,                0.00569,                0.00256,                 2.9199,                 12.731,                 8.0974,               0.070588,               0.003268,               0.003268
                      2,                 2.2541,                 2.2877,                  2.535,                0.01256,                0.01969,                0.00759,                0.00179,                 2.7104,                 5.5112,                 7.5117,               0.040523,               0.006536,               0.006536
                      3,                 2.0798,                 2.2197,                 2.4712,                0.29697,                 0.3422,                0.29447,                0.11518,                 2.0412,                  5.114,                 2.7139,               0.010392,              0.0097379,              0.0097379
                      4,                 1.9375,                  1.879,                 2.3603,                0.71029,                0.21387,                0.18181,                0.07174,                  2.455,                 5.2766,                 2.8835,               0.009703,               0.009703,               0.009703
                      5,                 1.7911,                 1.7724,                 2.2289,                0.48962,                0.62421,                0.54749,                0.24005,                 1.8938,                 2.1277,                 2.5987,               0.009604,               0.009604,               0.009604
                      6,                 1.7445,                 1.6618,                 2.1471,                0.53608,                0.62443,                0.54829,                  0.241,                  1.864,                 2.5863,                 2.5763,               0.009505,               0.009505,               0.009505
                      7,                 1.6813,                 1.5531,                 2.1014,                0.61771,                0.63702,                0.66162,                0.30995,                 1.7909,                 2.0341,                 2.5115,               0.009406,               0.009406,               0.009406
                      8,                 1.6459,                 1.5295,                 2.0766,                0.71469,                0.61231,                 0.7003,                0.32197,                 1.7708,                 2.0299,                  2.465,               0.009307,               0.009307,               0.009307
                      9,                 1.5807,                 1.5105,                 1.9954,                0.62094,                0.49982,                0.56544,                0.25348,                 1.9154,                  2.194,                 2.6513,               0.009208,               0.009208,               0.009208
                     10,                 1.5879,                 1.5561,                 2.0178,                0.78336,                0.64749,                0.79422,                0.39491,                 1.7034,                 2.9952,                 2.4851,               0.009109,               0.009109,               0.009109
                     11,                  1.491,                 1.4439,                 1.9312,                  0.724,                0.67225,                0.73748,                0.36942,                 1.7345,                 1.5878,                 2.3963,                0.00901,                0.00901,                0.00901
                     12,                 1.4736,                 1.3605,                 1.8948,                 0.7487,                0.64075,                0.75001,                0.35481,                 1.8042,                 1.5085,                 2.5329,               0.008911,               0.008911,               0.008911
                     13,                 1.4656,                 1.3431,                 1.8774,                0.53642,                0.61161,                0.59235,                0.28937,                 1.7603,                 2.0591,                 2.4305,               0.008812,               0.008812,               0.008812
                     14,                 1.3984,                 1.3038,                 1.8143,                0.70882,                0.72556,                 0.7926,                0.41604,                 1.6479,                 1.4219,                 2.3806,               0.008713,               0.008713,               0.008713
                     15,                 1.4313,                 1.2765,                 1.8158,                0.75239,                0.70127,                0.76585,                0.40551,                 1.6704,                 1.5695,                 2.4756,               0.008614,               0.008614,               0.008614
                     16,                 1.3819,                 1.2252,                 1.7792,                 0.8491,                0.73524,                0.84817,                0.44044,                 1.6515,                 1.2957,                 2.4176,               0.008515,               0.008515,               0.008515
                     17,                 1.3697,                 1.2786,                 1.7694,                0.76192,                0.62501,                0.73975,                0.38585,                 1.6982,                  1.709,                 2.4422,               0.008416,               0.008416,               0.008416
                     18,                 1.3658,                 1.3091,                 1.7904,                0.52081,                0.53254,                  0.528,                0.24208,                 1.9733,                 2.0541,                 2.7255,               0.008317,               0.008317,               0.008317
                     19,                  1.371,                 1.1899,                 1.7632,                0.72517,                0.72804,                0.77642,                0.41705,                 1.6428,                  1.462,                 2.4127,               0.008218,               0.008218,               0.008218
                     20,                 1.3769,                 1.1981,                 1.7624,                0.69173,                0.80357,                0.79684,                0.43664,                 1.6477,                 1.3368,                 2.3489,               0.008119,               0.008119,               0.008119
                     21,                 1.3163,                 1.1216,                 1.7445,                0.66408,                0.65585,                0.69517,                0.35864,                 1.6942,                 1.5278,                  2.401,                0.00802,                0.00802,                0.00802
                     22,                 1.3011,                 1.0774,                  1.724,                0.79255,                0.62601,                 0.7167,                0.38266,                 1.6664,                 1.8978,                 2.4074,               0.007921,               0.007921,               0.007921
                     23,                 1.2793,                 1.0912,                 1.6798,                 0.6171,                0.68436,                0.64636,                 0.3295,                 1.6656,                 2.3054,                 2.4947,               0.007822,               0.007822,               0.007822
                     24,                 1.2884,                 1.1152,                  1.705,                0.56767,                  0.571,                0.59255,                 0.3031,                 1.6563,                 2.0384,                 2.4968,               0.007723,               0.007723,               0.007723
