                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8857,                 4.1393,                 3.4145,                0.00015,                0.02601,                0.00178,                0.00018,                 3.4149,                 5.2231,                 2.9137,                 0.0775,                 0.0025,                 0.0025
                      2,                 2.3764,                 2.1365,                  2.033,                0.31097,                0.10191,                0.18686,                0.06214,                 3.0858,                 35.282,                 3.1708,                0.05405,              0.0050495,              0.0050495
                      3,                 2.0712,                 1.7702,                 1.7991,                0.21598,                0.23741,                0.15907,                0.05133,                 2.9417,                 100.17,                 3.2399,               0.030548,              0.0075475,              0.0075475
                      4,                 1.9376,                 1.7152,                 1.7409,                0.33996,                 0.4288,                0.29283,                0.12533,                 2.2364,                 103.63,                 2.1123,               0.009703,               0.009703,               0.009703
                      5,                 1.8529,                 1.5146,                 1.6179,                0.56455,                 0.4644,                0.46467,                0.20205,                 2.0275,                 3.3823,                 2.0433,               0.009604,               0.009604,               0.009604
                      6,                 1.7235,                 1.4084,                 1.5321,                0.57562,                0.46275,                0.44651,                0.18639,                  2.007,                 1.8868,                 1.8278,               0.009505,               0.009505,               0.009505
                      7,                 1.7018,                 1.3199,                  1.492,                0.66005,                0.52046,                0.59038,                 0.2731,                 1.8165,                 3.5762,                  1.829,               0.009406,               0.009406,               0.009406
                      8,                 1.6207,                 1.2771,                 1.4322,                0.51864,                0.51774,                0.55562,                0.28383,                 1.7568,                 18.733,                 1.8086,               0.009307,               0.009307,               0.009307
                      9,                 1.6002,                 1.2207,                 1.4269,                0.70012,                0.66756,                0.71152,                0.35845,                 1.7455,                 2.0586,                 1.7042,               0.009208,               0.009208,               0.009208
                     10,                 1.5642,                 1.2745,                 1.4019,                0.67767,                0.44661,                  0.604,                0.29793,                 1.8291,                 5.5196,                 1.7987,               0.009109,               0.009109,               0.009109
                     11,                 1.5418,                 1.2602,                   1.37,                0.69371,                0.68645,                0.73073,                0.37698,                 1.7323,                 2.3845,                 1.7073,                0.00901,                0.00901,                0.00901
                     12,                 1.5105,                 1.2305,                 1.3773,                0.63057,                0.63512,                0.64694,                0.31339,                 1.8291,                 2.2961,                 1.7833,               0.008911,               0.008911,               0.008911
                     13,                 1.4553,                  1.092,                 1.3253,                 0.7264,                0.68301,                0.74255,                0.37133,                 1.7379,                 1.5426,                 1.6175,               0.008812,               0.008812,               0.008812
                     14,                  1.417,                 1.0946,                  1.336,                 0.7264,                0.68301,                0.74255,                0.37133,                 1.7845,                 1698.9,                   2.74,               0.008713,               0.008713,               0.008713
                     15,                 1.4467,                 1.0994,                 1.3324,                0.78581,                0.75313,                0.79136,                0.42511,                 1.7332,                 1.3009,                 1.6544,               0.008614,               0.008614,               0.008614
                     16,                 1.3992,                  1.024,                 1.2931,                0.78039,                 0.6485,                0.76724,                0.40233,                 1.6881,                 2.2338,                 1.6152,               0.008515,               0.008515,               0.008515
                     17,                 1.3944,                 1.0736,                 1.3055,                0.80604,                0.77551,                0.84071,                 0.4629,                 1.6245,                 1.1227,                 1.5384,               0.008416,               0.008416,               0.008416
                     18,                 1.3861,                 1.0027,                 1.2737,                0.83784,                0.74404,                0.83825,                0.43021,                 1.7033,                 1.2085,                 1.6008,               0.008317,               0.008317,               0.008317
                     19,                 1.3795,                0.97212,                 1.2736,                0.59414,                0.61177,                0.58949,                0.28234,                  1.905,                 1.5125,                 1.6907,               0.008218,               0.008218,               0.008218
                     20,                 1.3601,                0.99513,                 1.2789,                0.76574,                0.72968,                0.81177,                0.43333,                  1.636,                  1.141,                 1.5563,               0.008119,               0.008119,               0.008119
                     21,                 1.3121,                0.94933,                 1.2567,                0.78826,                0.70903,                0.77275,                0.41631,                 1.6592,                 1.4317,                 1.5889,                0.00802,                0.00802,                0.00802
                     22,                  1.337,                0.97926,                 1.2687,                  2e-05,                0.00394,                  1e-05,                      0,                 1.6668,                 2315.7,                 2.0208,               0.007921,               0.007921,               0.007921
