                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9339,                 3.8495,                 3.3868,                0.00028,                0.04913,                0.00016,                  6e-05,                 3.5363,                  555.9,                 9.6797,               0.070882,              0.0032353,              0.0032353
                      2,                 2.3201,                 2.4015,                 2.4821,                0.00017,                0.01759,                  9e-05,                  4e-05,                 2.7608,             1.1595e+05,                 19.551,               0.040817,              0.0065036,              0.0065036
                      3,                 2.1188,                  2.164,                 2.2969,                0.00013,                0.01365,                  7e-05,                  2e-05,                 4.7388,                  18750,                  112.5,               0.010686,              0.0097059,              0.0097059
                      4,                 1.9511,                 2.0118,                 2.1607,                0.04362,                0.06329,                0.01833,                0.00676,                 2.2126,                 4.8617,                 2.7352,               0.009703,               0.009703,               0.009703
                      5,                 1.9202,                 1.9655,                 2.1281,                0.15801,                0.16649,                0.10564,                0.03921,                 2.2142,                 7.0657,                 2.5657,               0.009604,               0.009604,               0.009604
                      6,                 1.7966,                 1.7707,                 2.0342,                0.45697,                0.54528,                0.41602,                0.16649,                 1.9497,                 3.1668,                 2.3086,               0.009505,               0.009505,               0.009505
                      7,                 1.7531,                 1.7396,                 1.9808,                 0.5675,                0.49381,                0.49361,                0.20454,                 1.7818,                 7.1437,                 2.3378,               0.009406,               0.009406,               0.009406
                      8,                 1.6637,                 1.7017,                 1.9248,                0.51422,                0.61852,                0.59344,                0.27829,                 1.8697,                 2.0017,                 2.2171,               0.009307,               0.009307,               0.009307
                      9,                 1.5973,                 1.6715,                 1.8559,                0.54785,                0.54103,                0.52925,                0.24235,                 1.8042,                 2.2388,                 2.2093,               0.009208,               0.009208,               0.009208
                     10,                  1.601,                 1.5399,                 1.8238,                0.67518,                0.60094,                0.64571,                0.31574,                 1.7707,                 2.6995,                 2.1709,               0.009109,               0.009109,               0.009109
                     11,                 1.5219,                 1.5085,                 1.8102,                0.71315,                0.61424,                0.67246,                0.33352,                 1.8355,                 1.8355,                 2.2337,                0.00901,                0.00901,                0.00901
                     12,                 1.5198,                 1.4889,                 1.7416,                 0.4859,                0.46334,                0.45084,                0.20573,                 1.8426,                 2.1308,                 2.2653,               0.008911,               0.008911,               0.008911
                     13,                 1.4803,                 1.3998,                 1.6789,                0.59273,                0.36596,                0.40147,                0.19185,                 2.1799,                 2.6803,                 2.4577,               0.008812,               0.008812,               0.008812
                     14,                 1.4862,                 1.3711,                 1.7174,                0.45679,                0.39004,                0.39315,                0.18005,                 2.1087,                 2.4967,                 2.4232,               0.008713,               0.008713,               0.008713
                     15,                 1.4699,                 1.3908,                 1.6848,                0.70506,                0.59711,                0.69427,                 0.3617,                 1.7404,                 1.7159,                 2.0185,               0.008614,               0.008614,               0.008614
                     16,                 1.4734,                 1.3851,                 1.6907,                0.68288,                0.68661,                0.72601,                0.37786,                  1.813,                 1.5708,                 2.0928,               0.008515,               0.008515,               0.008515
                     17,                 1.3992,                 1.2636,                 1.6124,                0.72598,                0.65682,                0.73809,                0.37755,                 1.7874,                 1.5875,                  2.005,               0.008416,               0.008416,               0.008416
                     18,                 1.4188,                 1.2771,                 1.6236,                0.65626,                0.66823,                0.66636,                0.34228,                   1.78,                 1.6868,                 2.0799,               0.008317,               0.008317,               0.008317
                     19,                  1.379,                 1.2245,                 1.6028,                0.72794,                0.68717,                0.77216,                 0.3939,                 1.7384,                 1.4421,                 1.9296,               0.008218,               0.008218,               0.008218
                     20,                 1.3558,                 1.2159,                  1.562,                0.77955,                0.67321,                0.78238,                0.43281,                 1.6444,                 1.3718,                 1.8594,               0.008119,               0.008119,               0.008119
                     21,                 1.3354,                 1.2014,                 1.5539,                0.75335,                0.62611,                0.72653,                0.35115,                 1.6443,                 1.9636,                 1.9933,                0.00802,                0.00802,                0.00802
                     22,                  1.379,                 1.2186,                 1.5848,                0.76644,                0.73998,                0.82137,                0.43975,                 1.6944,                 1.3768,                  1.947,               0.007921,               0.007921,               0.007921
                     23,                 1.3417,                 1.1597,                 1.5295,                0.80286,                0.69014,                0.80592,                0.41884,                 1.7102,                 1.3987,                 1.9748,               0.007822,               0.007822,               0.007822
                     24,                 1.3117,                 1.1483,                  1.525,                0.57304,                0.63119,                0.55104,                0.27506,                 1.8784,                 2.1755,                 2.1428,               0.007723,               0.007723,               0.007723
                     25,                 1.3237,                 1.1382,                 1.5336,                0.57837,                0.69048,                0.66331,                0.33575,                 1.7594,                 1.8756,                 2.0494,               0.007624,               0.007624,               0.007624
                     26,                 1.3447,                 1.1413,                 1.5467,                0.48389,                0.57128,                0.50938,                0.24205,                 1.8325,                 2.0554,                 2.0864,               0.007525,               0.007525,               0.007525
                     27,                 1.2953,                 1.1001,                 1.5083,                0.61571,                0.69039,                0.67559,                0.33205,                 1.8165,                 1.6219,                 2.1751,               0.007426,               0.007426,               0.007426
                     28,                 1.3212,                 1.0949,                 1.5442,                0.71656,                0.81191,                0.82143,                0.44341,                  1.629,                 1.2919,                 1.9105,               0.007327,               0.007327,               0.007327
                     29,                 1.3116,                 1.1038,                 1.5245,                0.42565,                0.56443,                0.45875,                0.22012,                 1.7719,                 1.9776,                 2.0019,               0.007228,               0.007228,               0.007228
                     30,                 1.2788,                 1.0849,                 1.5027,                0.80362,                0.74587,                0.80701,                0.43578,                 1.6692,                 1.9559,                 1.8651,               0.007129,               0.007129,               0.007129
                     31,                 1.2715,                 1.0923,                 1.4945,                0.70866,                0.61145,                0.71729,                0.37559,                 1.6869,                 1.5375,                 1.8932,                0.00703,                0.00703,                0.00703
                     32,                 1.2513,                 1.0484,                  1.465,                0.79514,                0.75233,                0.81275,                0.43929,                 1.6748,                 1.2135,                 1.8894,               0.006931,               0.006931,               0.006931
                     33,                 1.2505,                 1.0286,                 1.4647,                0.70201,                 0.6283,                0.69328,                0.35343,                 1.7643,                 1.7092,                 1.9136,               0.006832,               0.006832,               0.006832
