                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.657,                 3.3617,                 2.9977,                  9e-05,                0.00289,                  2e-05,                  1e-05,                  3.682,                  11147,                 11.262,               0.070588,               0.003268,               0.003268
                      2,                 2.6022,                 2.0067,                 2.0478,                0.00013,                0.01261,                  7e-05,                  2e-05,                 5.4792,                  38837,                 104.53,               0.040523,               0.006536,               0.006536
                      3,                  2.309,                 1.7791,                 1.8134,                0.34021,                0.59845,                0.39104,                0.14822,                 2.3791,                 6.0409,                 2.3321,               0.010392,              0.0097379,              0.0097379
                      4,                 2.2199,                 1.7139,                 1.7481,                0.51309,                0.55739,                0.55375,                0.21738,                 2.3114,                 4.8597,                   2.31,               0.009703,               0.009703,               0.009703
                      5,                 2.1115,                 1.6704,                 1.6868,                 0.4652,                0.65912,                0.59164,                0.21517,                 2.3295,                 2.1052,                 1.9305,               0.009604,               0.009604,               0.009604
                      6,                 2.1117,                  1.547,                 1.6609,                0.63264,                0.61743,                0.64279,                0.27584,                 2.2195,                 1.9271,                 1.9254,               0.009505,               0.009505,               0.009505
                      7,                 2.0033,                 1.5008,                 1.5982,                0.67191,                 0.6697,                0.69809,                0.30209,                 2.1507,                 2.9013,                  1.822,               0.009406,               0.009406,               0.009406
                      8,                 1.9427,                 1.5172,                 1.5474,                0.66255,                0.68216,                 0.6986,                0.31301,                 2.1314,                 2.2024,                 1.8746,               0.009307,               0.009307,               0.009307
                      9,                 1.9518,                 1.4954,                 1.5511,                 0.5945,                0.35734,                0.43625,                0.16676,                 2.6082,                 1.9853,                 1.9851,               0.009208,               0.009208,               0.009208
                     10,                 1.8481,                 1.4137,                 1.4955,                0.62347,                0.62817,                0.67976,                0.31931,                 2.0155,                 1.5104,                  1.639,               0.009109,               0.009109,               0.009109
                     11,                 1.7719,                 1.2636,                 1.4402,                0.67817,                0.52349,                0.61537,                0.28708,                 2.1054,                 1.8489,                 1.6837,                0.00901,                0.00901,                0.00901
                     12,                 1.8201,                 1.2904,                 1.4849,                0.70533,                0.63971,                0.70644,                0.35181,                 2.0162,                 1.3928,                 1.6567,               0.008911,               0.008911,               0.008911
                     13,                 1.7279,                 1.2372,                 1.4213,                0.69928,                0.66941,                0.71763,                0.33368,                 2.2504,                 1.3376,                 1.7804,               0.008812,               0.008812,               0.008812
                     14,                 1.6667,                 1.1856,                 1.3756,                0.13332,                0.81457,                0.12608,                0.06192,                 1.8976,                 948.83,                 1.5878,               0.008713,               0.008713,               0.008713
                     15,                 1.6341,                 1.1806,                 1.3318,                0.79331,                 0.7028,                0.79542,                0.40291,                 1.9712,                 1.2295,                 1.5901,               0.008614,               0.008614,               0.008614
                     16,                 1.7329,                 1.1835,                 1.3729,                0.72968,                0.75393,                0.80465,                0.39804,                 1.9873,                 1.4329,                 1.6193,               0.008515,               0.008515,               0.008515
                     17,                 1.6304,                 1.1157,                 1.3545,                0.68064,                 0.6862,                0.73314,                0.37749,                 1.9333,                 1.3202,                 1.5964,               0.008416,               0.008416,               0.008416
                     18,                 1.5492,                   1.08,                  1.305,                0.73663,                 0.6799,                0.74554,                0.41836,                 1.8614,                 1.2359,                 1.5602,               0.008317,               0.008317,               0.008317
                     19,                 1.6348,                  1.081,                 1.3174,                0.72797,                0.70743,                0.77313,                0.39756,                 1.9354,                 1.2248,                 1.6182,               0.008218,               0.008218,               0.008218
                     20,                 1.5793,                 1.0333,                 1.3015,                0.77595,                0.73066,                0.80383,                0.43629,                 1.8861,                 1.1611,                 1.5573,               0.008119,               0.008119,               0.008119
                     21,                 1.5285,                 1.0156,                 1.2832,                0.73224,                0.67939,                0.75138,                0.39866,                 1.9478,                 1.2306,                 1.5881,                0.00802,                0.00802,                0.00802
                     22,                 1.5083,                0.99796,                 1.2773,                0.80529,                0.80024,                0.86609,                0.44141,                 1.8964,                 1.1268,                 1.6378,               0.007921,               0.007921,               0.007921
                     23,                 1.5426,                  1.002,                 1.2868,                 0.7518,                0.56842,                0.66363,                0.28851,                 2.2928,                 1.4739,                  1.827,               0.007822,               0.007822,               0.007822
                     24,                 1.4794,                0.96988,                 1.2644,                0.77544,                0.80645,                0.85513,                0.44928,                 1.8697,                  1.052,                 1.5915,               0.007723,               0.007723,               0.007723
                     25,                   1.48,                0.97065,                 1.2819,                0.74247,                0.74418,                0.80117,                0.42799,                 1.8237,                 1.3134,                 1.5376,               0.007624,               0.007624,               0.007624
                     26,                 1.4591,                0.94344,                 1.2403,                0.75551,                0.75653,                0.81634,                0.43636,                 1.9083,                 1.1582,                 1.5528,               0.007525,               0.007525,               0.007525
                     27,                 1.4719,                0.96921,                 1.2538,                0.77032,                0.66098,                0.74842,                0.40626,                 1.8233,                 1.2333,                 1.5167,               0.007426,               0.007426,               0.007426
                     28,                 1.4793,                0.93512,                 1.2672,                0.74531,                0.75808,                0.81655,                  0.444,                 1.8405,                 1.0626,                  1.531,               0.007327,               0.007327,               0.007327
                     29,                 1.4444,                0.92417,                 1.2344,                0.72737,                0.69407,                 0.7659,                0.41199,                 1.9128,                 1.1859,                 1.5622,               0.007228,               0.007228,               0.007228
                     30,                 1.4721,                0.97756,                 1.2363,                 0.7727,                0.75768,                0.82787,                0.45293,                 1.8269,                 1.6825,                 1.5478,               0.007129,               0.007129,               0.007129
                     31,                 1.3938,                0.89798,                 1.2271,                0.78343,                0.76808,                0.83901,                0.45927,                 1.8056,                 1.0407,                 1.5479,                0.00703,                0.00703,                0.00703
                     32,                 1.4276,                0.88607,                 1.2293,                 0.7273,                0.75552,                0.80269,                0.43257,                 1.8434,                 1.2258,                 1.5554,               0.006931,               0.006931,               0.006931
                     33,                 1.4088,                0.88955,                 1.2336,                0.73319,                0.76276,                0.82285,                 0.4367,                 1.9198,                 1.1702,                 1.5732,               0.006832,               0.006832,               0.006832
                     34,                 1.4005,                0.85826,                 1.2153,                 0.8974,                0.75615,                0.87868,                0.47885,                 1.8752,                0.96492,                 1.5671,               0.006733,               0.006733,               0.006733
                     35,                 1.4232,                0.86733,                 1.2234,                0.73489,                0.73561,                0.79541,                0.43343,                 1.8398,                 1.0592,                 1.5418,               0.006634,               0.006634,               0.006634
                     36,                 1.3993,                0.85765,                  1.206,                0.72108,                0.77653,                 0.8093,                0.44433,                 1.7846,                 1.0408,                 1.4949,               0.006535,               0.006535,               0.006535
                     37,                 1.4117,                0.86747,                 1.2193,                0.77597,                0.71062,                0.79279,                0.42971,                 1.7978,                 1.0455,                 1.4992,               0.006436,               0.006436,               0.006436
                     38,                  1.382,                0.84045,                 1.1915,                0.73155,                0.74387,                0.81131,                0.44082,                 1.8077,                 1.0668,                 1.5109,               0.006337,               0.006337,               0.006337
                     39,                 1.3935,                0.83794,                 1.1994,                0.82764,                0.69583,                0.81825,                0.45458,                 1.8036,                 1.0271,                 1.5328,               0.006238,               0.006238,               0.006238
                     40,                 1.3951,                0.83053,                 1.2076,                0.81141,                0.74102,                0.83571,                0.47488,                 1.7959,                0.99976,                 1.5384,               0.006139,               0.006139,               0.006139
                     41,                 1.3647,                0.82597,                 1.2001,                0.78625,                0.72502,                 0.8118,                0.45294,                 1.8328,                 1.1217,                 1.5276,                0.00604,                0.00604,                0.00604
                     42,                 1.3477,                0.82754,                 1.1763,                0.83467,                0.72921,                0.84676,                 0.4712,                 1.7934,                0.98092,                 1.5147,               0.005941,               0.005941,               0.005941
                     43,                 1.3518,                0.84314,                 1.1879,                0.85477,                0.71189,                0.84346,                0.47113,                 1.7883,                 1.0011,                 1.4999,               0.005842,               0.005842,               0.005842
                     44,                 1.3037,                0.79646,                 1.1594,                  0.829,                0.75262,                0.84885,                 0.4647,                 1.7923,                  1.012,                 1.5043,               0.005743,               0.005743,               0.005743
                     45,                 1.3575,                 0.8205,                 1.1958,                0.64381,                0.53683,                0.60905,                0.31112,                 2.1206,                 1.6554,                 1.6635,               0.005644,               0.005644,               0.005644
                     46,                 1.3465,                0.82432,                 1.2065,                0.77392,                0.69432,                0.78887,                0.43217,                 1.8309,                 1.0497,                 1.5012,               0.005545,               0.005545,               0.005545
                     47,                  1.334,                0.78362,                 1.1817,                0.74471,                0.63267,                0.72943,                0.39184,                 1.9359,                 1.2059,                 1.5733,               0.005446,               0.005446,               0.005446
                     48,                 1.3221,                0.80063,                 1.1729,                0.84588,                0.73023,                0.85636,                0.47368,                 1.8432,                0.93736,                 1.5599,               0.005347,               0.005347,               0.005347
