                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8108,                 6.5775,                 4.5245,                      0,                      0,                      0,                      0,                 4.8012,                 4.6936,                 3.7558,                 0.0892,                 0.0012,                 0.0012
                      2,                 3.3428,                 2.9843,                 2.9396,                  2e-05,                0.00394,                  1e-05,                      0,                 3.8941,                 740.62,                 3.1404,               0.077475,              0.0024753,              0.0024753
                      3,                 2.6517,                 2.0307,                 2.1598,                0.00015,                0.03543,                  8e-05,                  3e-05,                 4.3341,                  74223,                 39.066,               0.065725,              0.0037248,              0.0037248
                      4,                  2.368,                 1.7744,                 1.8907,                0.00012,                0.02756,                  6e-05,                  3e-05,                 4.7859,             1.6129e+05,                 539.72,               0.053949,              0.0049485,              0.0049485
                      5,                 2.1981,                 1.6385,                 1.7623,                0.00047,                 0.0748,                0.00028,                  8e-05,                 4.1463,                 5244.7,                 12.175,               0.042147,              0.0061466,              0.0061466
                      6,                 2.0931,                 1.5309,                 1.6456,                0.00021,                0.00787,                  9e-05,                  3e-05,                 3.3429,                 62.732,                 2.9247,               0.030319,              0.0073188,              0.0073188
                      7,                 2.0107,                 1.4897,                 1.6061,                0.50088,                0.00394,                0.00065,                  9e-05,                 3.9743,                 48.479,                 4.4219,               0.018465,              0.0084654,              0.0084654
                      8,                  1.988,                 1.4451,                 1.5623,                0.25855,                0.32918,                0.16937,                 0.0644,                 2.7445,                 19.521,                 2.2981,               0.009307,               0.009307,               0.009307
                      9,                  1.955,                 1.3983,                 1.5022,                 0.2366,                0.45981,                0.24859,                0.10788,                 2.0945,                   3.55,                 1.8382,               0.009208,               0.009208,               0.009208
                     10,                 1.8512,                 1.3336,                  1.469,                0.72055,                0.42303,                0.50014,                0.22862,                  2.119,                  3.633,                 1.9592,               0.009109,               0.009109,               0.009109
                     11,                  1.767,                 1.2479,                 1.4244,                0.64094,                0.68306,                0.69205,                0.33959,                 2.0119,                 2.0688,                 1.7312,                0.00901,                0.00901,                0.00901
                     12,                 1.8289,                 1.3242,                 1.4424,                0.84383,                0.57931,                0.70009,                0.35242,                 1.9613,                 9.7334,                 1.7579,               0.008911,               0.008911,               0.008911
                     13,                 1.7008,                 1.1958,                 1.3751,                0.71541,                0.62541,                0.71185,                0.35528,                 2.0176,                 1.7161,                  1.691,               0.008812,               0.008812,               0.008812
                     14,                 1.7201,                  1.227,                 1.4032,                0.42776,                0.41398,                0.31413,                0.17566,                 1.9473,                 5.5343,                 1.6371,               0.008713,               0.008713,               0.008713
