                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.346,                 5.0972,                 3.6908,                      0,                      0,                      0,                      0,                 3.5804,                 4.5708,                  2.924,                 0.0775,                 0.0025,                 0.0025
                      2,                  2.772,                 2.1791,                  2.268,                0.00069,                0.10983,                0.00051,                0.00015,                 3.9669,                 7690.4,                 20.881,                0.05405,              0.0050495,              0.0050495
                      3,                 2.3484,                 1.8126,                 1.8621,                0.17744,                 0.5343,                0.25312,                0.09784,                 2.4974,                 17.632,                 2.4781,               0.030548,              0.0075475,              0.0075475
                      4,                 2.2389,                 1.6952,                 1.7682,                0.10795,                0.49174,                0.19967,                0.06394,                 3.0257,                 118.29,                 3.6141,               0.009703,               0.009703,               0.009703
                      5,                 2.0997,                 1.5705,                 1.6206,                0.14077,                 0.6263,                0.23094,                0.09952,                 2.0928,                 27.293,                 1.8917,               0.009604,               0.009604,               0.009604
                      6,                 1.9395,                 1.4442,                   1.59,                0.36441,                0.53236,                 0.3856,                0.16715,                 2.1662,                 5.7686,                 1.9402,               0.009505,               0.009505,               0.009505
                      7,                 1.8704,                 1.3719,                 1.5321,                0.61196,                   0.69,                0.69319,                0.34169,                 1.8947,                 4.5624,                 1.8083,               0.009406,               0.009406,               0.009406
                      8,                 1.8126,                 1.2682,                 1.4819,                 0.7587,                0.65416,                0.70476,                0.32843,                 2.1049,                  1.971,                 1.9071,               0.009307,               0.009307,               0.009307
                      9,                 1.7606,                 1.2555,                 1.4252,                0.46553,                 0.7137,                0.67927,                0.31527,                 1.9793,                 5.9195,                 1.8348,               0.009208,               0.009208,               0.009208
                     10,                 1.7881,                 1.2922,                 1.4312,                0.54608,                0.62614,                0.62393,                 0.2961,                 2.1388,                 2.8232,                 1.8115,               0.009109,               0.009109,               0.009109
                     11,                  1.685,                 1.1683,                 1.3853,                0.43797,                0.54995,                0.43856,                0.21082,                 2.2819,                 2.7156,                 1.9881,                0.00901,                0.00901,                0.00901
                     12,                 1.7526,                 1.1767,                 1.3838,                0.51903,                0.58732,                0.62081,                0.31159,                  1.961,                 2.7778,                 1.6829,               0.008911,               0.008911,               0.008911
                     13,                 1.6909,                  1.138,                 1.3638,                0.70182,                0.70459,                0.75459,                0.39996,                 1.8932,                 1.3741,                  1.583,               0.008812,               0.008812,               0.008812
                     14,                 1.6712,                 1.0966,                 1.3323,                0.48206,                0.58973,                0.53232,                0.25247,                 2.0117,                 4.2066,                   1.73,               0.008713,               0.008713,               0.008713
                     15,                  1.644,                 1.1077,                 1.3392,                0.62665,                0.67732,                0.68197,                0.34033,                 1.9864,                 1.7194,                 1.6594,               0.008614,               0.008614,               0.008614
                     16,                 1.6101,                 1.0526,                 1.3012,                0.75446,                0.68645,                0.77908,                0.40877,                 1.9207,                 1.1984,                 1.5804,               0.008515,               0.008515,               0.008515
                     17,                 1.5762,                 1.0537,                 1.3099,                  0.782,                0.70958,                0.79019,                0.42029,                 1.8813,                 1.1929,                 1.5821,               0.008416,               0.008416,               0.008416
                     18,                  1.599,                 1.0378,                  1.285,                0.73041,                0.68968,                0.76084,                0.39609,                 1.9642,                 1.2326,                 1.6159,               0.008317,               0.008317,               0.008317
                     19,                 1.5777,                  1.007,                 1.3015,                0.73314,                 0.7497,                0.79914,                0.41363,                  1.895,                 1.5044,                    1.6,               0.008218,               0.008218,               0.008218
                     20,                 1.5212,                0.97578,                  1.278,                0.78445,                0.72816,                0.80763,                0.42931,                 1.8798,                  1.163,                 1.6077,               0.008119,               0.008119,               0.008119
                     21,                 1.5726,                0.96845,                 1.3011,                0.76312,                0.64423,                0.74639,                0.38638,                 1.9272,                  1.286,                 1.5874,                0.00802,                0.00802,                0.00802
                     22,                 1.5032,                0.95342,                  1.281,                0.63589,                0.66753,                0.67892,                0.35058,                 1.9164,                 1.4925,                 1.6114,               0.007921,               0.007921,               0.007921
                     23,                 1.4744,                0.92636,                 1.2463,                0.79361,                 0.7166,                0.80024,                0.42133,                 1.8636,                 1.3113,                   1.57,               0.007822,               0.007822,               0.007822
                     24,                  1.498,                0.94813,                  1.263,                0.79815,                0.67773,                0.78677,                0.43318,                 1.8471,                 1.1822,                 1.5738,               0.007723,               0.007723,               0.007723
                     25,                  1.494,                0.93648,                 1.2429,                0.70848,                0.64494,                0.68328,                0.34153,                 2.0393,                 1.4155,                 1.6486,               0.007624,               0.007624,               0.007624
                     26,                 1.4749,                0.88713,                 1.2461,                0.79959,                0.70718,                0.81552,                0.44378,                  1.855,                 1.1232,                 1.5821,               0.007525,               0.007525,               0.007525
                     27,                 1.4744,                0.91034,                 1.2534,                0.76576,                0.61634,                0.73726,                0.39731,                 1.9528,                 1.2689,                  1.614,               0.007426,               0.007426,               0.007426
                     28,                 1.4406,                0.88406,                 1.2355,                0.76133,                0.70768,                0.79254,                0.42585,                 1.8646,                 1.0891,                 1.5603,               0.007327,               0.007327,               0.007327
                     29,                 1.4972,                0.92184,                 1.2543,                0.72015,                0.65655,                0.71696,                0.36895,                 2.0076,                 1.3302,                  1.643,               0.007228,               0.007228,               0.007228
                     30,                 1.4468,                0.90624,                 1.2461,                0.77588,                0.70318,                0.80858,                0.44739,                 1.8128,                 1.1143,                 1.5527,               0.007129,               0.007129,               0.007129
                     31,                 1.4321,                 0.9029,                  1.239,                0.78401,                 0.6847,                0.76547,                0.40016,                 1.9426,                 1.2318,                  1.613,                0.00703,                0.00703,                0.00703
                     32,                 1.4544,                0.88122,                 1.2298,                0.80354,                0.77989,                0.85879,                0.46635,                 1.8205,                0.98974,                 1.5539,               0.006931,               0.006931,               0.006931
                     33,                  1.402,                0.85539,                 1.2177,                0.60386,                0.70448,                0.67479,                 0.3645,                 1.9077,                 1.4524,                 1.5943,               0.006832,               0.006832,               0.006832
                     34,                 1.4357,                0.84937,                   1.22,                0.81412,                0.74931,                0.85479,                0.46346,                   1.84,                 1.0687,                 1.5891,               0.006733,               0.006733,               0.006733
                     35,                 1.4278,                0.86784,                 1.2341,                0.75928,                0.73754,                0.81734,                0.44329,                 1.8566,                 1.1451,                 1.5737,               0.006634,               0.006634,               0.006634
                     36,                 1.4346,                0.85475,                 1.2217,                0.75912,                0.73417,                0.81279,                0.43965,                 1.8431,                  1.202,                 1.5889,               0.006535,               0.006535,               0.006535
                     37,                 1.4122,                0.84441,                 1.2063,                0.81546,                0.75795,                0.85824,                0.46723,                 1.8366,                 1.0396,                 1.5633,               0.006436,               0.006436,               0.006436
                     38,                 1.4162,                0.86987,                 1.1926,                0.67084,                0.73573,                0.72281,                0.37993,                  1.933,                 1.2098,                 1.5881,               0.006337,               0.006337,               0.006337
