                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1422,                 5.1889,                 3.5848,                      0,                      0,                      0,                      0,                0.00198,             3.5599e+07,                0.09789,                 0.0775,                 0.0025,                 0.0025
                      2,                 2.7088,                 2.0637,                 2.1837,                      0,                      0,                      0,                      0,                      0,                  14357,                      0,                0.05405,              0.0050495,              0.0050495
                      3,                 2.3046,                 1.7775,                 1.8387,                  5e-05,                0.00867,                  3e-05,                  1e-05,                 4.4593,                 3364.1,                  31.32,               0.030548,              0.0075475,              0.0075475
                      4,                 2.1208,                 1.6329,                 1.7154,                0.27477,                0.17113,                0.15381,                0.06078,                 2.7922,                  59.67,                 2.4566,               0.009703,               0.009703,               0.009703
                      5,                 1.9851,                 1.4812,                 1.5823,                0.51318,                0.49468,                0.47951,                0.20958,                 2.3393,                 6.7135,                 2.0619,               0.009604,               0.009604,               0.009604
                      6,                 1.9056,                 1.4389,                 1.5893,                0.64972,                0.69823,                0.70678,                0.34141,                 2.0093,                 3.8551,                 1.8602,               0.009505,               0.009505,               0.009505
                      7,                 1.8624,                 1.3571,                  1.546,                0.67033,                0.66672,                0.67982,                  0.308,                 2.0426,                 6.5568,                 1.9613,               0.009406,               0.009406,               0.009406
                      8,                 1.8308,                 1.2833,                 1.5043,                0.79439,                0.63475,                0.76008,                0.39613,                 1.8815,                 1.5026,                 1.6583,               0.009307,               0.009307,               0.009307
                      9,                 1.7115,                 1.1918,                 1.4047,                0.68004,                0.75451,                0.78612,                 0.4137,                 1.8759,                 2.1392,                 1.6386,               0.009208,               0.009208,               0.009208
                     10,                 1.7092,                 1.1721,                 1.3834,                0.60642,                0.66505,                0.70582,                 0.3522,                 1.9474,                 1.5096,                 1.6465,               0.009109,               0.009109,               0.009109
                     11,                 1.6091,                 1.0959,                 1.3398,                 0.5251,                0.50754,                0.49844,                0.22603,                 2.1769,                 1.8577,                  1.775,                0.00901,                0.00901,                0.00901
                     12,                 1.6637,                 1.1221,                 1.3446,                0.74825,                0.71811,                0.79999,                0.41002,                 1.9036,                 1.5732,                 1.6209,               0.008911,               0.008911,               0.008911
                     13,                 1.6022,                 1.1058,                 1.3256,                0.66296,                0.62635,                0.68223,                0.35701,                 1.9016,                 1.5106,                 1.5802,               0.008812,               0.008812,               0.008812
                     14,                 1.5598,                 1.0614,                 1.2849,                0.72395,                0.68325,                 0.7493,                0.39125,                 1.8845,                 1.5645,                 1.5964,               0.008713,               0.008713,               0.008713
                     15,                  1.531,                 1.0204,                 1.2848,                0.72287,                0.67255,                0.71948,                0.36951,                 1.9184,                 1.3724,                 1.6708,               0.008614,               0.008614,               0.008614
                     16,                  1.542,                 1.0269,                 1.2786,                0.77597,                0.57491,                0.71754,                0.37511,                 1.9776,                 1.2975,                 1.6424,               0.008515,               0.008515,               0.008515
                     17,                 1.5225,                0.99764,                 1.2996,                0.76797,                0.64075,                0.75229,                0.37524,                 1.9687,                 1.2924,                 1.6306,               0.008416,               0.008416,               0.008416
                     18,                 1.5248,                0.98193,                 1.2601,                0.60964,                0.52833,                 0.5588,                0.24855,                 2.1744,                 1.6682,                 1.7701,               0.008317,               0.008317,               0.008317
                     19,                 1.5865,                 1.0538,                 1.3088,                0.84426,                0.71272,                0.84289,                0.45777,                 1.8478,                 1.1809,                  1.566,               0.008218,               0.008218,               0.008218
                     20,                 1.5212,                 1.0113,                 1.2713,                0.72217,                0.71849,                0.74963,                0.39748,                 1.8376,                 2.2115,                 1.6021,               0.008119,               0.008119,               0.008119
                     21,                 1.5327,                0.95783,                 1.2894,                0.58199,                0.65017,                0.62679,                0.31311,                 1.9735,                 1.5642,                 1.6265,                0.00802,                0.00802,                0.00802
                     22,                 1.4916,                0.95257,                 1.2736,                0.71877,                0.78572,                0.80351,                0.42531,                 1.8962,                 1.2135,                 1.6174,               0.007921,               0.007921,               0.007921
                     23,                 1.4811,                0.93232,                 1.2587,                0.78035,                0.75855,                0.81332,                0.41197,                 1.8859,                 1.1934,                 1.5807,               0.007822,               0.007822,               0.007822
                     24,                 1.4604,                0.94097,                 1.2478,                0.71433,                0.73554,                0.76856,                0.41021,                 1.9352,                 1.1677,                 1.5633,               0.007723,               0.007723,               0.007723
                     25,                 1.4743,                0.93466,                 1.2426,                0.70528,                0.71077,                0.75283,                0.40783,                   1.84,                 1.2445,                 1.5299,               0.007624,               0.007624,               0.007624
                     26,                 1.4061,                 0.8668,                 1.2223,                0.81443,                0.73105,                0.83307,                0.44761,                 1.8764,                 1.1366,                 1.5905,               0.007525,               0.007525,               0.007525
                     27,                  1.447,                0.88745,                 1.2424,                0.79139,                0.78174,                0.85203,                0.47493,                 1.8132,                0.99233,                 1.5388,               0.007426,               0.007426,               0.007426
                     28,                 1.4037,                0.87119,                 1.2228,                0.63338,                0.75126,                0.73407,                0.38451,                 1.8225,                 1.1644,                 1.5101,               0.007327,               0.007327,               0.007327
                     29,                 1.4628,                0.93042,                 1.2522,                0.81025,                0.70429,                 0.8032,                0.44339,                 1.8619,                 1.2766,                  1.573,               0.007228,               0.007228,               0.007228
                     30,                 1.4061,                0.88423,                 1.2229,                0.84839,                 0.7463,                0.85256,                 0.4698,                 1.8116,                 1.0684,                 1.5285,               0.007129,               0.007129,               0.007129
                     31,                 1.3869,                0.84631,                  1.223,                0.51221,                0.53165,                0.55312,                0.28057,                 1.9875,                 1.6795,                  1.628,                0.00703,                0.00703,                0.00703
                     32,                 1.4203,                0.85688,                 1.2288,                0.79347,                0.74735,                0.82744,                0.46251,                 1.8106,                 1.1313,                 1.5466,               0.006931,               0.006931,               0.006931
                     33,                 1.3761,                0.83102,                 1.2045,                0.71594,                0.74341,                0.79583,                0.44003,                 1.8035,                 1.1684,                 1.5574,               0.006832,               0.006832,               0.006832
                     34,                  1.361,                0.81495,                 1.1946,                0.85496,                0.71795,                0.83911,                0.46367,                 1.8135,                 1.0523,                 1.5455,               0.006733,               0.006733,               0.006733
                     35,                 1.3729,                0.85192,                 1.2147,                0.82278,                0.72268,                0.83712,                0.45184,                 1.8402,                 1.1298,                 1.5637,               0.006634,               0.006634,               0.006634
                     36,                 1.3863,                0.83438,                 1.2062,                0.68789,                0.79894,                0.82587,                0.45333,                 1.7898,                 1.1156,                 1.5484,               0.006535,               0.006535,               0.006535
                     37,                 1.3664,                0.81902,                 1.1933,                0.78189,                0.78459,                0.83474,                0.43387,                 1.8516,                 1.1431,                 1.5834,               0.006436,               0.006436,               0.006436
                     38,                 1.3849,                0.81973,                  1.192,                0.78876,                0.67093,                0.80163,                0.43012,                  1.855,                 1.0422,                 1.5828,               0.006337,               0.006337,               0.006337
                     39,                 1.3295,                0.82324,                 1.1633,                 0.8104,                0.76133,                0.87093,                 0.4893,                 1.7774,                0.91024,                 1.5137,               0.006238,               0.006238,               0.006238
                     40,                 1.3437,                  0.824,                 1.1988,                0.71782,                0.78976,                0.80925,                0.45747,                 1.7879,                 1.1599,                 1.5282,               0.006139,               0.006139,               0.006139
                     41,                 1.3323,                0.79716,                 1.1832,                0.84347,                  0.721,                0.85917,                0.47457,                 1.8163,                0.96027,                  1.551,                0.00604,                0.00604,                0.00604
                     42,                 1.3104,                0.77176,                 1.1623,                 0.7569,                0.74475,                0.80364,                0.43307,                 1.8491,                 1.1626,                  1.568,               0.005941,               0.005941,               0.005941
                     43,                 1.3548,                0.79073,                 1.2133,                0.77788,                0.71242,                0.81182,                0.45135,                 1.8134,                 1.0533,                 1.5747,               0.005842,               0.005842,               0.005842
                     44,                 1.3395,                0.79752,                  1.177,                0.74449,                0.74854,                 0.8201,                0.44303,                 1.8599,                 1.0688,                 1.5927,               0.005743,               0.005743,               0.005743
                     45,                 1.3518,                0.80145,                 1.1978,                 0.8063,                0.72263,                 0.8381,                0.45405,                 1.8145,                0.96014,                 1.5457,               0.005644,               0.005644,               0.005644
                     46,                 1.3218,                 0.7886,                 1.1867,                0.71405,                0.72529,                0.78364,                0.43141,                  1.822,                 1.0882,                 1.5399,               0.005545,               0.005545,               0.005545
                     47,                 1.2959,                0.74908,                  1.162,                0.78538,                0.74977,                0.82351,                0.45246,                  1.806,                 1.0199,                 1.5391,               0.005446,               0.005446,               0.005446
                     48,                 1.3393,                0.77078,                 1.1737,                0.80377,                0.78358,                0.87765,                0.48309,                 1.8392,                0.89601,                 1.5683,               0.005347,               0.005347,               0.005347
                     49,                 1.3306,                0.78377,                 1.1615,                0.85164,                0.76243,                0.87442,                0.48993,                 1.7592,                0.90469,                 1.5413,               0.005248,               0.005248,               0.005248
                     50,                 1.3547,                0.78536,                 1.1831,                0.82413,                0.74855,                0.86086,                0.47829,                 1.8002,                0.92477,                 1.5549,               0.005149,               0.005149,               0.005149
                     51,                 1.3188,                 0.7895,                   1.16,                 0.8371,                0.76993,                0.88748,                0.49915,                 1.7831,                0.82983,                 1.5187,                0.00505,                0.00505,                0.00505
                     52,                 1.2681,                0.72695,                 1.1644,                0.70572,                0.78753,                0.81775,                0.45056,                  1.865,                 1.0334,                 1.5864,               0.004951,               0.004951,               0.004951
                     53,                  1.275,                 0.7343,                 1.1537,                0.74919,                 0.7778,                0.84303,                0.46878,                 1.8161,                0.96326,                 1.5612,               0.004852,               0.004852,               0.004852
                     54,                 1.2756,                0.73032,                 1.1499,                0.72875,                0.78069,                 0.8515,                0.46971,                 1.7952,                0.98271,                 1.5534,               0.004753,               0.004753,               0.004753
                     55,                 1.2965,                0.73867,                 1.1688,                0.73443,                0.69198,                0.76958,                0.40801,                 1.8788,                  1.125,                 1.5777,               0.004654,               0.004654,               0.004654
                     56,                 1.2608,                0.73231,                 1.1519,                 0.7921,                0.78864,                0.86465,                0.48576,                 1.7995,                0.87447,                 1.5524,               0.004555,               0.004555,               0.004555
                     57,                 1.2604,                0.72684,                 1.1428,                0.67546,                0.68271,                0.72475,                0.38908,                 1.9038,                 1.1421,                   1.59,               0.004456,               0.004456,               0.004456
                     58,                 1.2681,                0.73913,                  1.143,                0.81168,                0.75915,                0.85427,                0.48143,                 1.7855,                0.96644,                 1.5311,               0.004357,               0.004357,               0.004357
                     59,                 1.2703,                 0.7139,                 1.1541,                 0.8315,                0.68228,                0.82066,                0.43999,                 1.8448,                 1.2278,                 1.5133,               0.004258,               0.004258,               0.004258
                     60,                 1.2815,                0.72011,                 1.1495,                0.68835,                0.65999,                0.71157,                0.37307,                 1.8588,                 1.2014,                 1.5586,               0.004159,               0.004159,               0.004159
                     61,                 1.2886,                0.72655,                 1.1441,                0.84509,                0.72423,                0.85927,                0.47806,                 1.8086,                0.92386,                 1.5353,                0.00406,                0.00406,                0.00406
                     62,                  1.235,                0.70149,                 1.1411,                0.82077,                0.75074,                 0.8776,                0.49123,                 1.7749,                0.87533,                 1.5337,               0.003961,               0.003961,               0.003961
                     63,                 1.2526,                0.70822,                 1.1286,                0.76068,                0.76507,                0.84697,                0.47451,                 1.8065,                0.98418,                 1.5325,               0.003862,               0.003862,               0.003862
                     64,                 1.2536,                0.70903,                 1.1407,                0.73866,                0.78174,                 0.8344,                 0.4773,                 1.7745,                 0.9058,                 1.4995,               0.003763,               0.003763,               0.003763
                     65,                 1.2374,                0.71076,                 1.1269,                0.80784,                0.74829,                0.86257,                0.48344,                 1.8101,                0.89973,                 1.5404,               0.003664,               0.003664,               0.003664
                     66,                 1.2574,                0.71972,                 1.1391,                0.77662,                0.76745,                0.83952,                0.46457,                 1.8149,                 0.9571,                 1.5465,               0.003565,               0.003565,               0.003565
                     67,                  1.249,                0.71829,                 1.1259,                0.88626,                0.72867,                0.87255,                0.49788,                 1.7861,                0.85761,                 1.5409,               0.003466,               0.003466,               0.003466
                     68,                 1.2329,                0.71125,                 1.1168,                0.83867,                0.75707,                0.87584,                0.49428,                 1.7945,                0.91353,                 1.5401,               0.003367,               0.003367,               0.003367
                     69,                 1.2613,                0.71956,                 1.1302,                0.82294,                0.75068,                0.85639,                0.48039,                 1.7893,                0.94164,                 1.5593,               0.003268,               0.003268,               0.003268
                     70,                 1.2137,                0.68393,                 1.1206,                  0.839,                0.73998,                0.86945,                0.48131,                 1.7751,                0.87495,                 1.5267,               0.003169,               0.003169,               0.003169
                     71,                 1.2369,                0.68428,                 1.1304,                 0.7007,                0.77022,                0.80972,                0.45113,                  1.787,                0.96276,                 1.5291,                0.00307,                0.00307,                0.00307
                     72,                  1.208,                0.67136,                 1.1149,                0.81295,                0.75941,                0.86554,                 0.4761,                 1.8179,                0.83858,                 1.5598,               0.002971,               0.002971,               0.002971
                     73,                 1.1936,                0.65637,                 1.1093,                0.81383,                0.76205,                0.86236,                0.48299,                 1.7788,                0.90858,                 1.5453,               0.002872,               0.002872,               0.002872
                     74,                 1.1933,                0.67646,                 1.1085,                 0.7914,                0.78174,                0.87466,                0.48535,                 1.7691,                0.89898,                 1.5347,               0.002773,               0.002773,               0.002773
                     75,                 1.2096,                0.68231,                 1.1384,                0.74512,                0.78072,                0.83351,                0.47298,                 1.8075,                0.99733,                 1.5451,               0.002674,               0.002674,               0.002674
                     76,                 1.2104,                0.66727,                 1.1271,                0.81974,                0.77386,                0.87777,                0.48976,                 1.7965,                0.83501,                 1.5262,               0.002575,               0.002575,               0.002575
                     77,                 1.2373,                0.67678,                 1.1104,                0.83459,                0.76389,                0.87673,                0.49161,                 1.7897,                 0.8968,                 1.5514,               0.002476,               0.002476,               0.002476
                     78,                 1.1869,                0.64511,                 1.1018,                0.85399,                0.77582,                 0.8801,                0.49035,                 1.7918,                 0.8372,                 1.5471,               0.002377,               0.002377,               0.002377
                     79,                 1.2035,                0.64011,                 1.1081,                0.81638,                0.79933,                0.87883,                0.49241,                 1.7865,                 0.8922,                 1.5538,               0.002278,               0.002278,               0.002278
                     80,                 1.1712,                0.64607,                 1.0973,                0.80027,                0.76169,                0.84259,                0.46787,                 1.8213,                0.94244,                  1.561,               0.002179,               0.002179,               0.002179
                     81,                 1.2167,                   0.64,                  1.121,                0.82385,                0.80263,                0.88192,                0.49683,                 1.7712,                0.84439,                 1.5333,                0.00208,                0.00208,                0.00208
                     82,                 1.1966,                0.65255,                 1.1026,                0.77419,                0.82559,                0.88189,                0.49192,                  1.791,                0.84661,                 1.5549,               0.001981,               0.001981,               0.001981
                     83,                 1.1611,                0.63905,                 1.1084,                 0.7818,                0.78069,                0.86542,                0.48981,                 1.7594,                0.87472,                 1.5344,               0.001882,               0.001882,               0.001882
                     84,                 1.1425,                0.62738,                 1.0933,                0.82091,                0.74655,                0.85252,                0.47444,                  1.794,                0.92202,                 1.5554,               0.001783,               0.001783,               0.001783
                     85,                  1.191,                0.64229,                 1.1068,                0.78387,                 0.8007,                0.87085,                 0.4883,                 1.7857,                0.86011,                 1.5379,               0.001684,               0.001684,               0.001684
                     86,                 1.1389,                0.61829,                 1.0902,                0.78571,                 0.7778,                 0.8588,                0.48053,                 1.7756,                0.88709,                 1.5331,               0.001585,               0.001585,               0.001585
                     87,                 1.1612,                0.61705,                 1.0996,                0.75252,                0.82806,                0.87578,                0.49082,                 1.7772,                0.84507,                 1.5418,               0.001486,               0.001486,               0.001486
                     88,                 1.1361,                0.62795,                 1.0837,                0.84307,                0.76038,                0.88097,                0.49486,                 1.7866,                0.81868,                 1.5535,               0.001387,               0.001387,               0.001387
                     89,                 1.1616,                0.61286,                 1.0774,                0.72668,                0.80286,                0.84713,                0.47208,                 1.8032,                0.92649,                 1.5762,               0.001288,               0.001288,               0.001288
                     90,                 1.1333,                0.61617,                  1.085,                0.84771,                0.77754,                0.88586,                0.49563,                 1.7927,                 0.8448,                 1.5642,               0.001189,               0.001189,               0.001189
                     91,                  1.129,                0.62785,                  1.128,                0.82208,                0.79133,                0.87839,                0.49422,                 1.8349,                0.86485,                 1.5834,                0.00109,                0.00109,                0.00109
                     92,                 1.1148,                 0.6009,                 1.1142,                0.81701,                 0.7931,                0.86174,                0.47533,                 1.7915,                0.85129,                 1.5522,               0.000991,               0.000991,               0.000991
                     93,                 1.1054,                0.59774,                  1.122,                0.84341,                 0.7916,                0.89234,                0.49108,                 1.7984,                0.79359,                 1.5637,               0.000892,               0.000892,               0.000892
                     94,                 1.1124,                0.58428,                 1.1161,                0.82068,                0.81378,                 0.8991,                0.50372,                 1.7704,                0.79613,                 1.5412,               0.000793,               0.000793,               0.000793
                     95,                 1.0923,                 0.5703,                 1.1058,                0.78599,                0.83585,                  0.882,                 0.5046,                 1.7578,                0.79855,                 1.5144,               0.000694,               0.000694,               0.000694
                     96,                 1.0814,                0.56417,                 1.1155,                 0.7904,                0.82548,                0.89001,                0.49867,                 1.7652,                0.79892,                 1.5275,               0.000595,               0.000595,               0.000595
                     97,                  1.099,                0.56947,                 1.1111,                0.83824,                 0.8029,                0.89591,                0.50027,                 1.7682,                0.77689,                   1.54,               0.000496,               0.000496,               0.000496
                     98,                 1.0944,                0.55086,                 1.1095,                0.82525,                0.81238,                0.89601,                0.50605,                 1.7758,                 0.7817,                 1.5423,               0.000397,               0.000397,               0.000397
                     99,                  1.081,                0.54465,                 1.0995,                 0.8345,                0.81562,                0.89775,                0.50843,                 1.7684,                0.78333,                 1.5427,               0.000298,               0.000298,               0.000298
                    100,                 1.0882,                0.54237,                 1.1036,                0.85388,                0.81168,                0.90796,                0.51604,                 1.7529,                0.75662,                 1.5312,               0.000199,               0.000199,               0.000199
