                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7111,                  4.394,                 3.3391,                0.00019,                0.01365,                 0.0001,                  4e-05,                 5.5826,             2.1136e+06,                 6532.1,               0.070882,              0.0032353,              0.0032353
                      2,                 2.3947,                 2.2268,                 2.1216,                  3e-05,                0.00578,                  2e-05,                  1e-05,                 5.6681,                  56141,                 61.231,               0.040817,              0.0065036,              0.0065036
                      3,                 2.2008,                 1.8011,                 1.8928,                0.00044,                0.07514,                0.00031,                0.00011,                 5.0648,                  24458,                 51.031,               0.010686,              0.0097059,              0.0097059
                      4,                 1.9841,                 1.7555,                 1.7457,                0.40561,                0.49128,                0.41479,                0.14552,                 2.2525,                 3.8229,                 2.1881,               0.009703,               0.009703,               0.009703
                      5,                 1.9243,                 1.6144,                 1.6888,                0.50758,                0.34932,                0.37382,                0.15182,                 2.2866,                 3.3983,                 2.2607,               0.009604,               0.009604,               0.009604
                      6,                 1.8622,                 1.5855,                 1.6434,                 0.5398,                0.57248,                0.54576,                0.21069,                 2.0225,                 2.7347,                 1.8689,               0.009505,               0.009505,               0.009505
                      7,                  1.836,                 1.5253,                 1.6161,                0.69599,                  0.574,                0.63352,                0.28683,                 1.8766,                 2.3546,                  1.732,               0.009406,               0.009406,               0.009406
                      8,                 1.7342,                 1.4167,                  1.523,                0.66341,                0.57106,                0.61733,                0.27921,                 2.1006,                 1.5233,                 1.8904,               0.009307,               0.009307,               0.009307
                      9,                 1.6426,                 1.3162,                 1.4764,                0.70191,                0.68406,                0.69287,                0.34327,                 1.8767,                 1.4092,                 1.7217,               0.009208,               0.009208,               0.009208
                     10,                  1.597,                 1.2559,                 1.4545,                 0.4708,                0.53571,                 0.4813,                0.19448,                 2.0833,                 1.9969,                 1.8006,               0.009109,               0.009109,               0.009109
                     11,                 1.6353,                   1.36,                 1.4877,                0.70005,                0.60741,                0.66707,                0.28591,                 1.9069,                 1.8885,                  1.723,                0.00901,                0.00901,                0.00901
                     12,                 1.6348,                 1.2908,                 1.4483,                 0.7099,                0.72604,                0.79116,                0.40607,                 1.7793,                 1.4904,                 1.6822,               0.008911,               0.008911,               0.008911
                     13,                  1.537,                 1.2308,                 1.3906,                0.53292,                 0.4287,                0.42173,                 0.1796,                 2.3352,                 2.0255,                 2.0318,               0.008812,               0.008812,               0.008812
                     14,                 1.4888,                 1.1973,                 1.3804,                0.50401,                0.54427,                0.49935,                0.20207,                 2.0563,                 1.8656,                 1.7928,               0.008713,               0.008713,               0.008713
                     15,                 1.4517,                 1.1455,                 1.3574,                0.71653,                 0.6901,                0.74804,                0.36397,                  1.809,                 1.3375,                 1.6111,               0.008614,               0.008614,               0.008614
                     16,                 1.4318,                 1.1334,                 1.3275,                 0.6888,                0.68844,                0.74534,                0.38555,                 1.7176,                 1.2754,                 1.5987,               0.008515,               0.008515,               0.008515
                     17,                 1.3854,                 1.0505,                 1.3242,                0.82029,                0.77338,                0.84995,                0.45623,                 1.7233,                  1.042,                 1.5899,               0.008416,               0.008416,               0.008416
                     18,                 1.3861,                 1.0236,                 1.2954,                0.81579,                0.67434,                 0.8058,                0.42012,                 1.7251,                  1.254,                 1.5787,               0.008317,               0.008317,               0.008317
                     19,                 1.3356,                0.96534,                 1.2789,                0.78832,                0.78282,                0.83395,                0.43638,                 1.7071,                 1.2614,                 1.5818,               0.008218,               0.008218,               0.008218
                     20,                  1.375,                0.99993,                 1.2871,                0.66381,                0.71954,                0.73755,                0.39133,                 1.6425,                 1.3414,                 1.5042,               0.008119,               0.008119,               0.008119
                     21,                 1.3084,                0.96804,                  1.254,                0.76711,                0.79446,                0.83073,                0.44503,                 1.6855,                 1.1027,                  1.542,                0.00802,                0.00802,                0.00802
                     22,                  1.334,                0.95605,                 1.2731,                0.77383,                 0.7166,                0.79707,                0.41744,                 1.7668,                 1.1633,                 1.6178,               0.007921,               0.007921,               0.007921
                     23,                 1.3776,                0.95721,                 1.2556,                0.64462,                0.76875,                0.76812,                0.40078,                 1.7208,                 1.1898,                 1.5638,               0.007822,               0.007822,               0.007822
                     24,                 1.3178,                0.94469,                 1.2665,                 0.8454,                0.74626,                0.86083,                0.45036,                 1.6942,                 1.4928,                 1.5806,               0.007723,               0.007723,               0.007723
                     25,                  1.305,                0.92884,                 1.2473,                0.76052,                0.74027,                0.79849,                0.42126,                 1.6418,                 1.4106,                  1.524,               0.007624,               0.007624,               0.007624
                     26,                 1.3464,                0.97099,                  1.278,                0.70077,                0.77625,                0.81019,                0.42971,                 1.7122,                 1.1178,                 1.5431,               0.007525,               0.007525,               0.007525
                     27,                 1.3029,                0.93138,                 1.2531,                0.74212,                0.75489,                0.80381,                 0.4206,                 1.6355,                 1.1207,                 1.5073,               0.007426,               0.007426,               0.007426
                     28,                 1.2899,                0.89308,                 1.2409,                 0.5526,                0.47624,                0.46822,                0.23071,                 2.1183,                 1.7329,                 1.8116,               0.007327,               0.007327,               0.007327
                     29,                 1.2889,                0.90639,                 1.2407,                0.62491,                0.59027,                0.60474,                 0.2993,                 1.9527,                 1.4098,                 1.6829,               0.007228,               0.007228,               0.007228
                     30,                 1.2609,                0.87919,                 1.2347,                0.79457,                0.70983,                0.81415,                0.44135,                  1.662,                 1.1303,                 1.5542,               0.007129,               0.007129,               0.007129
                     31,                 1.2671,                0.87461,                 1.2272,                0.75213,                0.74508,                0.79897,                0.41653,                 1.6891,                 1.1428,                 1.5513,                0.00703,                0.00703,                0.00703
                     32,                  1.263,                0.87043,                 1.2227,                0.57221,                0.49777,                0.51432,                 0.2466,                 2.1665,                  1.604,                 1.8209,               0.006931,               0.006931,               0.006931
                     33,                 1.3028,                0.89542,                 1.2437,                0.70786,                0.63914,                0.70255,                0.36477,                 1.7666,                 1.2388,                 1.6101,               0.006832,               0.006832,               0.006832
                     34,                 1.2367,                0.84554,                 1.2053,                0.78487,                0.77226,                 0.8417,                0.46828,                 1.6132,                0.98658,                  1.507,               0.006733,               0.006733,               0.006733
                     35,                 1.2104,                0.84526,                 1.2024,                0.82059,                0.74207,                0.85202,                0.46935,                 1.6392,                  1.239,                 1.5258,               0.006634,               0.006634,               0.006634
                     36,                 1.2152,                0.84294,                 1.1956,                0.71181,                0.69332,                 0.7489,                0.40418,                 1.7481,                 1.1756,                 1.6001,               0.006535,               0.006535,               0.006535
                     37,                 1.2009,                0.83116,                 1.1878,                0.77428,                 0.7979,                0.85079,                0.45965,                  1.606,                0.95669,                 1.4984,               0.006436,               0.006436,               0.006436
                     38,                 1.2231,                0.83761,                 1.2024,                0.85083,                0.73987,                0.84192,                0.45814,                  1.688,                 1.0286,                 1.5554,               0.006337,               0.006337,               0.006337
                     39,                 1.2428,                 0.8239,                 1.1941,                0.85173,                0.74416,                0.85204,                0.46519,                  1.628,                   1.03,                  1.542,               0.006238,               0.006238,               0.006238
                     40,                 1.1799,                0.80374,                 1.1778,                0.73192,                0.78788,                0.82867,                0.45928,                 1.6464,                 1.0366,                 1.5245,               0.006139,               0.006139,               0.006139
                     41,                 1.1782,                0.83473,                 1.1869,                0.78016,                0.72109,                0.82581,                0.45166,                 1.6713,                 1.0563,                 1.5476,                0.00604,                0.00604,                0.00604
                     42,                 1.1968,                0.81448,                 1.1951,                0.68595,                0.78781,                0.76969,                0.42142,                  1.619,                 1.3115,                 1.5123,               0.005941,               0.005941,               0.005941
                     43,                 1.1893,                0.80775,                 1.1807,                0.83472,                0.73235,                0.84666,                0.46613,                 1.6273,                 1.0412,                 1.5233,               0.005842,               0.005842,               0.005842
                     44,                 1.1673,                0.81598,                 1.1723,                0.84802,                0.69602,                0.84396,                0.47671,                 1.6542,                 1.0018,                 1.5248,               0.005743,               0.005743,               0.005743
                     45,                  1.186,                0.80086,                 1.1829,                 0.8705,                0.71844,                0.85532,                0.46738,                 1.6064,                0.96882,                 1.5084,               0.005644,               0.005644,               0.005644
                     46,                 1.1839,                0.79158,                 1.1916,                0.82132,                0.74391,                0.86155,                0.47443,                 1.6345,                0.94887,                 1.5302,               0.005545,               0.005545,               0.005545
                     47,                 1.1568,                0.79931,                  1.178,                0.83279,                0.72436,                0.86073,                0.46998,                  1.628,                0.93184,                 1.5123,               0.005446,               0.005446,               0.005446
                     48,                 1.1711,                0.78171,                 1.1592,                0.83973,                0.71048,                0.83452,                0.45439,                 1.6236,                0.99195,                 1.5043,               0.005347,               0.005347,               0.005347
                     49,                 1.1703,                0.77538,                 1.1783,                0.70609,                0.74894,                0.79593,                0.44054,                 1.6843,                 1.0808,                 1.5439,               0.005248,               0.005248,               0.005248
                     50,                 1.1546,                0.77672,                 1.1594,                 0.8224,                0.79669,                0.86283,                0.47703,                 1.6413,                0.99498,                 1.5464,               0.005149,               0.005149,               0.005149
                     51,                 1.1297,                 0.7683,                 1.1548,                0.87427,                0.70898,                0.86974,                0.49606,                 1.5838,                0.90484,                 1.5095,                0.00505,                0.00505,                0.00505
                     52,                 1.1622,                 0.7615,                 1.1684,                0.79814,                0.81474,                0.86663,                0.48882,                 1.6218,                 0.9236,                  1.517,               0.004951,               0.004951,               0.004951
                     53,                  1.153,                0.77087,                 1.1712,                0.68584,                0.73144,                0.74673,                0.40296,                 1.6314,                 1.1446,                 1.5117,               0.004852,               0.004852,               0.004852
                     54,                 1.1671,                0.77064,                 1.1746,                0.85752,                0.74496,                0.86354,                0.47882,                 1.6192,                 0.9122,                 1.4982,               0.004753,               0.004753,               0.004753
                     55,                 1.1286,                0.74428,                  1.159,                0.77846,                0.75547,                0.85017,                0.47418,                 1.6126,                0.95153,                 1.5119,               0.004654,               0.004654,               0.004654
