                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0542,                 4.4771,                 3.6486,                      0,                      0,                      0,                      0,                 2.4325,                  20831,                 8.1842,                 0.0775,                 0.0025,                 0.0025
                      2,                 2.6142,                 2.2122,                  2.252,                      0,                      0,                      0,                      0,                      0,                  32247,                      0,                0.05405,              0.0050495,              0.0050495
                      3,                 2.2143,                 1.9488,                 1.9005,                  7e-05,                0.00787,                  3e-05,                  1e-05,                 6.3112,             1.2943e+05,                 722.93,               0.030548,              0.0075475,              0.0075475
                      4,                 2.1146,                 1.8778,                 1.8376,                  7e-05,                0.00787,                  3e-05,                  1e-05,                 6.2978,                  18025,                 117.14,               0.009703,               0.009703,               0.009703
                      5,                 1.9253,                 1.6416,                  1.666,                0.41106,                0.42126,                0.29138,                0.10294,                 2.6596,                 6.1045,                 2.8581,               0.009604,               0.009604,               0.009604
                      6,                 1.8454,                 1.5774,                 1.6794,                0.46126,                0.52022,                0.44934,                 0.1808,                 2.0958,                 3.4657,                 2.0248,               0.009505,               0.009505,               0.009505
                      7,                 1.8005,                 1.4534,                 1.6308,                0.71135,                0.53889,                0.61972,                0.25849,                 1.9224,                 2.3306,                 1.8077,               0.009406,               0.009406,               0.009406
                      8,                 1.7596,                 1.4279,                 1.5732,                0.70081,                0.65206,                0.67174,                0.30729,                 1.9122,                 2.0359,                  1.762,               0.009307,               0.009307,               0.009307
                      9,                 1.7004,                 1.3348,                 1.4993,                0.51002,                0.44414,                0.44066,                0.17464,                 2.2243,                 1.9661,                 1.9249,               0.009208,               0.009208,               0.009208
                     10,                 1.6784,                 1.3368,                 1.4799,                 0.7148,                  0.672,                0.70477,                0.32199,                 1.8818,                 1.4905,                 1.7143,               0.009109,               0.009109,               0.009109
                     11,                 1.5948,                 1.2852,                 1.4385,                0.71117,                0.68675,                0.71344,                0.32351,                 1.8857,                  1.878,                 1.7482,                0.00901,                0.00901,                0.00901
                     12,                   1.61,                 1.2641,                 1.4174,                0.72584,                0.63912,                0.71692,                0.36278,                 1.7603,                 1.4381,                 1.6018,               0.008911,               0.008911,               0.008911
                     13,                  1.544,                 1.2268,                 1.3932,                0.74163,                0.39119,                0.53933,                0.24863,                 2.0451,                 2.0203,                 1.7501,               0.008812,               0.008812,               0.008812
