                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9122,                  3.668,                 3.0844,                      0,                      0,                      0,                      0,                 2.9793,                 5.3135,                 2.7365,               0.070297,              0.0033003,              0.0033003
                      2,                 2.4453,                 2.7503,                 2.4833,                0.06603,                0.12608,                0.03444,                0.01178,                   2.33,                 232.66,                  2.996,               0.040231,               0.006568,               0.006568
                      3,                 2.3302,                 2.6025,                 2.4284,                0.25612,                0.10903,                0.17788,                0.05386,                 2.1883,                 150.06,                 3.8093,                 0.0101,              0.0097697,              0.0097697
                      4,                 2.1684,                 2.4015,                 2.3105,                0.24653,                0.33279,                0.29011,                0.12127,                 2.1612,                 6.1741,                 2.5065,               0.009703,               0.009703,               0.009703
                      5,                 2.0303,                 2.3356,                  2.199,                0.22916,                0.48113,                0.24596,                0.09445,                 2.0814,                 21.694,                 2.8626,               0.009604,               0.009604,               0.009604
                      6,                 1.9315,                 2.2014,                  2.117,                0.21129,                0.39347,                0.22475,                0.08694,                 2.0562,                 3.1265,                 2.5254,               0.009505,               0.009505,               0.009505
                      7,                 1.9368,                  2.176,                 2.1284,                0.25695,                0.57042,                0.27481,                0.09904,                 1.9841,                 6.8151,                 2.6195,               0.009406,               0.009406,               0.009406
                      8,                 1.8293,                 2.0938,                 2.0264,                0.29645,                 0.2651,                0.18432,                 0.0719,                 2.4226,                 3.2195,                 2.5441,               0.009307,               0.009307,               0.009307
                      9,                 1.8136,                 2.0411,                 1.9882,                0.20501,                0.62903,                0.31992,                0.15175,                 1.7754,                 16.371,                  2.205,               0.009208,               0.009208,               0.009208
                     10,                 1.7226,                 1.9894,                 1.9405,                0.38415,                0.30124,                0.23519,                0.11234,                  1.867,                 2.9314,                 2.2039,               0.009109,               0.009109,               0.009109
                     11,                 1.7176,                 1.9582,                 1.9437,                0.40203,                0.44545,                0.35925,                0.16962,                 2.0337,                  2.223,                 2.2762,                0.00901,                0.00901,                0.00901
                     12,                 1.7112,                 1.9008,                 1.8849,                0.33077,                0.61902,                0.39772,                0.17051,                  1.963,                 3.3034,                 2.4232,               0.008911,               0.008911,               0.008911
                     13,                 1.6815,                  1.903,                 1.8763,                0.29937,                 0.4768,                0.32393,                0.14611,                 1.8696,                 2.1927,                 2.3698,               0.008812,               0.008812,               0.008812
                     14,                 1.6524,                 1.8813,                 1.8553,                0.37582,                 0.5644,                0.42808,                0.19986,                 1.8169,                 1.9579,                 2.1631,               0.008713,               0.008713,               0.008713
                     15,                 1.6253,                 1.8724,                 1.8361,                0.34764,                0.64842,                0.40293,                0.19337,                 1.7992,                 1.9002,                 2.1137,               0.008614,               0.008614,               0.008614
                     16,                 1.5854,                 1.8085,                  1.811,                0.38841,                0.61508,                0.41721,                0.20738,                 1.7142,                 1.8138,                 2.1468,               0.008515,               0.008515,               0.008515
                     17,                 1.5872,                 1.7278,                 1.8175,                 0.3199,                0.62551,                0.42543,                0.19961,                   1.78,                 1.8587,                 2.2024,               0.008416,               0.008416,               0.008416
                     18,                 1.5803,                 1.7526,                 1.7935,                0.31505,                0.58296,                0.44471,                 0.2156,                 1.8094,                 2.4444,                 2.2061,               0.008317,               0.008317,               0.008317
                     19,                 1.5422,                  1.722,                 1.7776,                0.27882,                0.62405,                0.40114,                0.18992,                 1.8091,                 2.4123,                 2.1358,               0.008218,               0.008218,               0.008218
                     20,                 1.4739,                 1.6524,                 1.7268,                0.45583,                0.44365,                0.45234,                 0.2239,                 1.7084,                 2.2019,                 2.2054,               0.008119,               0.008119,               0.008119
                     21,                 1.5017,                 1.6509,                 1.7407,                0.36972,                0.61538,                0.47794,                0.24594,                 1.7449,                 1.9559,                 2.1319,                0.00802,                0.00802,                0.00802
